Yr,Pre_marital_stat_g,Pre_marital_stat_b,No_of_marri
2000,Divorced men who married,Widows,120
2000,Divorced men who married,Divorced women,1325
2001,Bachelors who married,Spinsters,25285
2001,Bachelors who married,Widows,153
2001,Bachelors who married,Divorced women,2337
2001,Widowers who married,Spinsters,216
2001,Widowers who married,Widows,58
2001,Widowers who married,Divorced women,212
2001,Divorced men who married,Spinsters,2710
2001,Divorced men who married,Widows,136
2001,Divorced men who married,Divorced women,1451
2002,Bachelors who married,Spinsters,23515
2002,Bachelors who married,Widows,162
2002,Bachelors who married,Divorced women,2473
2002,Widowers who married,Spinsters,249
2002,Widowers who married,Widows,81
2002,Widowers who married,Divorced women,271
2002,Divorced men who married,Spinsters,3145
2002,Divorced men who married,Widows,145
2002,Divorced men who married,Divorced women,1828
2003,Bachelors who married,Spinsters,25836
2003,Bachelors who married,Widows,187
2003,Bachelors who married,Divorced women,2634
2003,Widowers who married,Spinsters,268
2003,Widowers who married,Widows,76
2003,Widowers who married,Divorced women,303
2003,Divorced men who married,Spinsters,3733
2003,Divorced men who married,Widows,173
2003,Divorced men who married,Divorced women,2100
2004,Bachelors who married,Spinsters,29306
2004,Bachelors who married,Widows,223
2004,Bachelors who married,Divorced women,3416
2004,Widowers who married,Spinsters,316
2004,Widowers who married,Widows,105
2004,Widowers who married,Divorced women,420
2004,Divorced men who married,Spinsters,4485
2004,Divorced men who married,Widows,279
2004,Divorced men who married,Divorced women,2678
2005,Bachelors who married,Spinsters,27834
2005,Bachelors who married,Widows,300
2005,Bachelors who married,Divorced women,4417
2005,Widowers who married,Spinsters,339
2005,Widowers who married,Widows,122
2005,Widowers who married,Divorced women,527
2005,Divorced men who married,Spinsters,5106
2005,Divorced men who married,Widows,433
2005,Divorced men who married,Divorced women,3798
2006,Bachelors who married,Spinsters,33352
2006,Bachelors who married,Widows,302
2006,Bachelors who married,Divorced women,4582
2006,Widowers who married,Spinsters,410
2006,Widowers who married,Widows,110
2006,Widowers who married,Divorced women,528
2006,Divorced men who married,Spinsters,6008
2006,Divorced men who married,Widows,459
2006,Divorced men who married,Divorced women,4491
2007,Bachelors who married,Spinsters,32288
2007,Bachelors who married,Widows,213
2007,Bachelors who married,Divorced women,3463
2007,Widowers who married,Spinsters,321
2007,Widowers who married,Widows,103
2007,Widowers who married,Divorced women,457
2007,Divorced men who married,Spinsters,6024
2007,Divorced men who married,Widows,391
2007,Divorced men who married,Divorced women,4088
2008,Bachelors who married,Spinsters,32765
2008,Bachelors who married,Widows,202
2008,Bachelors who married,Divorced women,3332
2008,Widowers who married,Spinsters,308
2008,Widowers who married,Widows,99
2008,Widowers who married,Divorced women,404
2008,Divorced men who married,Spinsters,5695
2008,Divorced men who married,Widows,388
2008,Divorced men who married,Divorced women,4064
2009,Bachelors who married,Spinsters,35338
2009,Bachelors who married,Widows,202
2009,Bachelors who married,Divorced women,3601
2009,Widowers who married,Spinsters,339
2009,Widowers who married,Widows,93
2009,Widowers who married,Divorced women,413
2009,Divorced men who married,Spinsters,5977
2009,Divorced men who married,Widows,472
2009,Divorced men who married,Divorced women,4645
2010,Bachelors who married,Spinsters,35826
2010,Bachelors who married,Widows,237
2010,Bachelors who married,Divorced women,3718
2010,Widowers who married,Spinsters,319
2010,Widowers who married,Widows,89
2010,Widowers who married,Divorced women,479
2010,Divorced men who married,Spinsters,6179
2010,Divorced men who married,Widows,507
2010,Divorced men who married,Divorced women,5114
2011,Bachelors who married,Spinsters,39979
2011,Bachelors who married,Widows,200
2011,Bachelors who married,Divorced women,4187
2011,Widowers who married,Spinsters,294
2011,Widowers who married,Widows,99
2011,Widowers who married,Divorced women,449
2011,Divorced men who married,Spinsters,6418
2011,Divorced men who married,Widows,554
2011,Divorced men who married,Divorced women,6067
2012,Bachelors who married,Spinsters,40841
2012,Bachelors who married,Widows,204
2012,Bachelors who married,Divorced women,4336
2012,Widowers who married,Spinsters,242
2012,Widowers who married,Widows,104
2012,Widowers who married,Divorced women,469
2012,Divorced men who married,Spinsters,6670
2012,Divorced men who married,Widows,673
2012,Divorced men who married,Divorced women,6844
2013,Bachelors who married,Spinsters,35703
2013,Bachelors who married,Widows,196
2013,Bachelors who married,Divorced women,4203
2013,Widowers who married,Spinsters,255
2013,Widowers who married,Widows,91
2013,Widowers who married,Divorced women,448
2013,Divorced men who married,Spinsters,6178
2013,Divorced men who married,Widows,673
2013,Divorced men who married,Divorced women,7464
2014,Bachelors who married,Spinsters,37217
2014,Bachelors who married,Widows,171
2014,Bachelors who married,Divorced women,4257
2014,Widowers who married,Spinsters,236
2014,Widowers who married,Widows,86
2014,Widowers who married,Divorced women,449
2014,Divorced men who married,Spinsters,5962
2014,Divorced men who married,Widows,652
2014,Divorced men who married,Divorced women,7384
2015,Bachelors who married,Spinsters,34046
2015,Bachelors who married,Widows,182
2015,Bachelors who married,Divorced women,3878
2015,Widowers who married,Spinsters,201
2015,Widowers who married,Widows,94
2015,Widowers who married,Divorced women,433
2015,Divorced men who married,Spinsters,5330
2015,Divorced men who married,Widows,618
2015,Divorced men who married,Divorced women,6787
2016,Bachelors who married,Spinsters,32673
2016,Bachelors who married,Widows,177
2016,Bachelors who married,Divorced women,3792
2016,Widowers who married,Spinsters,204
2016,Widowers who married,Widows,88
2016,Widowers who married,Divorced women,395
2016,Divorced men who married,Spinsters,4879
2016,Divorced men who married,Widows,653
2016,Divorced men who married,Divorced women,7112
2017,Bachelors who married,Spinsters,34263
2017,Bachelors who married,Widows,166
2017,Bachelors who married,Divorced women,3860
2017,Widowers who married,Spinsters,213
2017,Widowers who married,Widows,74
2017,Widowers who married,Divorced women,491
2017,Divorced men who married,Spinsters,5004
2017,Divorced men who married,Widows,634
2017,Divorced men who married,Divorced women,7078
2018,Bachelors who married,Spinsters,31828
2018,Bachelors who married,Widows,155
2018,Bachelors who married,Divorced women,3862
2018,Widowers who married,Spinsters,203
2018,Widowers who married,Widows,91
2018,Widowers who married,Divorced women,476
2018,Divorced men who married,Spinsters,4651
2018,Divorced men who married,Widows,699
2018,Divorced men who married,Divorced women,7330
2019,Bachelors who married,Spinsters,28398
2019,Bachelors who married,Widows,144
2019,Bachelors who married,Divorced women,3423
2019,Widowers who married,Spinsters,189
2019,Widowers who married,Widows,76
2019,Widowers who married,Divorced women,405
2019,Divorced men who married,Spinsters,4087
2019,Divorced men who married,Widows,659
2019,Divorced men who married,Divorced women,6849
2020,Bachelors who married,Spinsters,21324
2020,Bachelors who married,Widows,57
2020,Bachelors who married,Divorced women,1698
2020,Widowers who married,Spinsters,96
2020,Widowers who married,Widows,32
2020,Widowers who married,Divorced women,136
2020,Divorced men who married,Spinsters,2032
2020,Divorced men who married,Widows,136
2020,Divorced men who married,Divorced women,2336
2021,Bachelors who married,Spinsters,20153
2021,Bachelors who married,Widows,67
2021,Bachelors who married,Divorced women,1728
2021,Widowers who married,Spinsters,90
2021,Widowers who married,Widows,24
2021,Widowers who married,Divorced women,140
2021,Divorced men who married,Spinsters,1992
2021,Divorced men who married,Widows,163
2021,Divorced men who married,Divorced women,2539
