Yr,Sex,COD,Per_deaths,No_reg_deaths
2016,Female,Mental and behavioural disorders,4,-
2016,Female,Certain infectious and parasitic diseases,3,-
2016,Female,"Endocrine, nutritional and metabolic diseases",1.6,-
2016,Female,Diseases of the nervous system,0.9,-
2016,Female,Diseases of the musculoskeletal system and connective tissue,0.5,-
2016,Female,Diseases of the skin and subcutaneous tissue,0.4,-
2016,Female,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.2,-
2016,Female,"Congenital malformations, deformations and chromosomal abnormalities",0.1,-
2016,Female,Other causes,0.1,-
2016,Female,Total,100,20659
2016,Both sexes,Neoplasms,31.2,-
2016,Both sexes,Diseases of the respiratory system,22.8,-
2016,Both sexes,Diseases of the circulatory system,21.5,-
2016,Both sexes,Diseases of the genitourinary system,4.9,-
2016,Both sexes,External causes of morbidity and mortality,3.9,-
2016,Both sexes,Diseases of the digestive system,3.3,-
2016,Both sexes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",3,-
2016,Both sexes,Mental and behavioural disorders,2.9,-
2016,Both sexes,Certain infectious and parasitic diseases,2.9,-
2016,Both sexes,"Endocrine, nutritional and metabolic diseases",1.3,-
2016,Both sexes,Diseases of the nervous system,1,-
2016,Both sexes,Diseases of the musculoskeletal system and connective tissue,0.4,-
2016,Both sexes,Diseases of the skin and subcutaneous tissue,0.4,-
2016,Both sexes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.2,-
2016,Both sexes,"Congenital malformations, deformations and chromosomal abnormalities",0.1,-
2016,Both sexes,Other causes,0.1,-
2016,Both sexes,Total,100,46662
2021,Male,Neoplasms,31.5,-
2021,Male,Diseases of the respiratory system,24,-
2021,Male,Diseases of the circulatory system,20.2,-
2021,Male,Diseases of the genitourinary system,4.2,-
2021,Male,External causes of morbidity and mortality,4.5,-
2021,Male,Diseases of the digestive system,3.3,-
2021,Male,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",4,-
2021,Male,Mental and behavioural disorders,1.9,-
2021,Male,Certain infectious and parasitic diseases,3.2,-
2021,Male,"Endocrine, nutritional and metabolic diseases",1.3,-
2021,Male,Diseases of the nervous system,1,-
2021,Male,Diseases of the musculoskeletal system and connective tissue,0.3,-
2021,Male,Diseases of the skin and subcutaneous tissue,0.3,-
2021,Male,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.2,-
2021,Male,"Congenital malformations, deformations and chromosomal abnormalities",0.1,-
2021,Male,Other causes,0.1,-
2021,Male,Total,100,28365
2021,Female,Neoplasms,28.3,-
2021,Female,Diseases of the respiratory system,21.6,-
2021,Female,Diseases of the circulatory system,20.3,-
2021,Female,Diseases of the genitourinary system,6.5,-
2021,Female,External causes of morbidity and mortality,3,-
2021,Female,Diseases of the digestive system,3.4,-
2021,Female,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",5.7,-
2021,Female,Mental and behavioural disorders,4.2,-
2021,Female,Certain infectious and parasitic diseases,3.3,-
2021,Female,"Endocrine, nutritional and metabolic diseases",1.4,-
2021,Female,Diseases of the nervous system,1,-
2021,Female,Diseases of the musculoskeletal system and connective tissue,0.5,-
2021,Female,Diseases of the skin and subcutaneous tissue,0.4,-
2021,Female,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.3,-
2021,Female,"Congenital malformations, deformations and chromosomal abnormalities",0.1,-
2021,Female,Other causes,0.1,-
2021,Female,Total,100,23171
2021,Both sexes,Neoplasms,30.1,-
2021,Both sexes,Diseases of the respiratory system,22.9,-
2021,Both sexes,Diseases of the circulatory system,20.2,-
2021,Both sexes,Diseases of the genitourinary system,5.2,-
2021,Both sexes,External causes of morbidity and mortality,3.8,-
2021,Both sexes,Diseases of the digestive system,3.4,-
2021,Both sexes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",4.7,-
2021,Both sexes,Mental and behavioural disorders,2.9,-
2021,Both sexes,Certain infectious and parasitic diseases,3.2,-
2021,Both sexes,"Endocrine, nutritional and metabolic diseases",1.3,-
2021,Both sexes,Diseases of the nervous system,1,-
2021,Both sexes,Diseases of the musculoskeletal system and connective tissue,0.4,-
2021,Both sexes,Diseases of the skin and subcutaneous tissue,0.3,-
2021,Both sexes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.2,-
2021,Both sexes,"Congenital malformations, deformations and chromosomal abnormalities",0.1,-
2021,Both sexes,Other causes,0.1,-
2021,Both sexes,Total,100,51536
