Sex,Age_gp,Economies,Percent_never_marri
Female,15 – 19,Hong Kong 2021 (excluding foreign domestic helpers),99.3
Female,20 – 24,Hong Kong 2021 (excluding foreign domestic helpers),95.3
Female,25 – 29,Hong Kong 2021 (excluding foreign domestic helpers),79.6
Female,30 – 34,Hong Kong 2021 (excluding foreign domestic helpers),45.6
Female,35 – 39,Hong Kong 2021 (excluding foreign domestic helpers),25.2
Female,40 – 44,Hong Kong 2021 (excluding foreign domestic helpers),19.8
Female,45 – 49,Hong Kong 2021 (excluding foreign domestic helpers),16.6
Female,50 – 54,Hong Kong 2021 (excluding foreign domestic helpers),15.7
Female,55 – 59,Hong Kong 2021 (excluding foreign domestic helpers),13.8
Female,60 – 64,Hong Kong 2021 (excluding foreign domestic helpers),10.4
Female,65+,Hong Kong 2021 (excluding foreign domestic helpers),4.8
Female,Overall,Hong Kong 2021 (excluding foreign domestic helpers),27
Male,15 – 19,Japan 2020,99.1
Male,20 – 24,Japan 2020,88.5
Male,25 – 29,Japan 2020,65.4
Male,30 – 34,Japan 2020,43.7
Male,35 – 39,Japan 2020,32.4
Male,40 – 44,Japan 2020,27.6
Male,45 – 49,Japan 2020,25.8
Male,50 – 54,Japan 2020,23
Male,55 – 59,Japan 2020,18.8
Male,60 – 64,Japan 2020,14.9
Male,65+,Japan 2020,6.6
Male,Overall,Japan 2020,30.4
Female,15 – 19,Japan 2020,99.1
Female,20 – 24,Japan 2020,87.1
Female,25 – 29,Japan 2020,58.2
Female,30 – 34,Japan 2020,33.6
Female,35 – 39,Japan 2020,22.8
Female,40 – 44,Japan 2020,18.8
Female,45 – 49,Japan 2020,17
Female,50 – 54,Japan 2020,14.7
Female,55 – 59,Japan 2020,11
Female,60 – 64,Japan 2020,7.7
Female,65+,Japan 2020,4.3
Female,Overall,Japan 2020,22.5
Male,15 – 19,Singapore 2020,100
Male,20 – 24,Singapore 2020,98.3
Male,25 – 29,Singapore 2020,81.6
Male,30 – 34,Singapore 2020,41.9
Male,35 – 39,Singapore 2020,22.6
Male,40 – 44,Singapore 2020,16.7
Male,45 – 49,Singapore 2020,14.1
Male,50 – 54,Singapore 2020,12.8
Male,55 – 59,Singapore 2020,12.2
Male,60 – 64,Singapore 2020,10.3
Male,65+,Singapore 2020,6
Male,Overall,Singapore 2020,33.3
Female,15 – 19,Singapore 2020,99.9
Female,20 – 24,Singapore 2020,95.9
Female,25 – 29,Singapore 2020,69
Female,30 – 34,Singapore 2020,32.8
Female,35 – 39,Singapore 2020,19.3
Female,40 – 44,Singapore 2020,16.4
Female,45 – 49,Singapore 2020,15.3
Female,50 – 54,Singapore 2020,13.5
Female,55 – 59,Singapore 2020,13
Female,60 – 64,Singapore 2020,12.3
Female,65+,Singapore 2020,8
Female,Overall,Singapore 2020,29.9
Male,15 – 19,Taiwan 2021,99.9
Male,20 – 24,Taiwan 2021,97.7
Male,25 – 29,Taiwan 2021,87.2
Male,30 – 34,Taiwan 2021,65
Male,35 – 39,Taiwan 2021,43.6
Male,40 – 44,Taiwan 2021,30.8
Male,45 – 49,Taiwan 2021,21.8
Male,50 – 54,Taiwan 2021,15.6
Male,55 – 59,Taiwan 2021,11.1
Male,60 – 64,Taiwan 2021,7.7
Male,65+,Taiwan 2021,3.6
Male,Overall,Taiwan 2021,37.6
Female,15 – 19,Taiwan 2021,99.7
Female,20 – 24,Taiwan 2021,95
Female,25 – 29,Taiwan 2021,79.2
Female,30 – 34,Taiwan 2021,50.8
Female,35 – 39,Taiwan 2021,30.1
Female,40 – 44,Taiwan 2021,22.2
Female,45 – 49,Taiwan 2021,18
Female,50 – 54,Taiwan 2021,14
Female,55 – 59,Taiwan 2021,10
Female,60 – 64,Taiwan 2021,7
Female,65+,Taiwan 2021,3.9
Female,Overall,Taiwan 2021,30.6
