Yr,Order_live_births,Age_mother,Fertility_rates
1998,First order live births,20 – 24,23.1
1998,First order live births,25 – 29,38.1
1998,First order live births,30 – 34,31.1
1998,First order live births,35 – 39,8.8
1998,First order live births,40 – 44,1.2
1998,First order live births,45 – 49,0.1
1998,Second order live births,15 – 19,0.6
1998,Second order live births,20 – 24,7.2
1998,Second order live births,25 – 29,22
1998,Second order live births,30 – 34,28.8
1998,Second order live births,35 – 39,14.1
1998,Second order live births,40 – 44,1.9
1998,Second order live births,45 – 49,0.1
1998,Third order live births,15 – 19,§
1998,Third order live births,20 – 24,0.9
1998,Third order live births,25 – 29,3.7
1998,Third order live births,30 – 34,6.5
1998,Third order live births,35 – 39,5.3
1998,Third order live births,40 – 44,1.1
1998,Third order live births,45 – 49,§
1998,Fourth and higher order live births,15 – 19,§
1998,Fourth and higher order live births,20 – 24,0.1
1998,Fourth and higher order live births,25 – 29,0.7
1998,Fourth and higher order live births,30 – 34,1.5
1998,Fourth and higher order live births,35 – 39,1.7
1998,Fourth and higher order live births,40 – 44,0.6
1998,Fourth and higher order live births,45 – 49,§
1999,First order live births,15 – 19,4.3
1999,First order live births,20 – 24,23.8
1999,First order live births,25 – 29,37.7
1999,First order live births,30 – 34,31.2
1999,First order live births,35 – 39,9.2
1999,First order live births,40 – 44,1.1
1999,First order live births,45 – 49,§
1999,Second order live births,15 – 19,0.5
1999,Second order live births,20 – 24,6.4
1999,Second order live births,25 – 29,20.3
1999,Second order live births,30 – 34,26.6
1999,Second order live births,35 – 39,13.3
1999,Second order live births,40 – 44,1.9
1999,Second order live births,45 – 49,0.1
1999,Third order live births,15 – 19,§
1999,Third order live births,20 – 24,0.8
1999,Third order live births,25 – 29,3.3
1999,Third order live births,30 – 34,5.7
1999,Third order live births,35 – 39,4.8
1999,Third order live births,40 – 44,1.1
1999,Third order live births,45 – 49,§
1999,Fourth and higher order live births,15 – 19,§
1999,Fourth and higher order live births,20 – 24,0.1
1999,Fourth and higher order live births,25 – 29,0.6
1999,Fourth and higher order live births,30 – 34,1.4
1999,Fourth and higher order live births,35 – 39,1.6
1999,Fourth and higher order live births,40 – 44,0.6
1999,Fourth and higher order live births,45 – 49,0.1
2000,First order live births,15 – 19,4.1
2000,First order live births,20 – 24,24.6
2000,First order live births,25 – 29,40
2000,First order live births,30 – 34,33.5
2000,First order live births,35 – 39,9.8
2000,First order live births,40 – 44,1.1
2000,First order live births,45 – 49,0.1
2000,Second order live births,15 – 19,0.4
2000,Second order live births,20 – 24,6.1
2000,Second order live births,25 – 29,20.8
2000,Second order live births,30 – 34,28.8
2000,Second order live births,35 – 39,15.1
2000,Second order live births,40 – 44,1.9
2000,Second order live births,45 – 49,0.1
2000,Third order live births,15 – 19,§
2000,Third order live births,20 – 24,0.8
2000,Third order live births,25 – 29,3.2
2000,Third order live births,30 – 34,6.4
2000,Third order live births,35 – 39,4.8
2000,Third order live births,40 – 44,1.1
2000,Third order live births,45 – 49,0.1
2000,Fourth and higher order live births,15 – 19,§
2000,Fourth and higher order live births,20 – 24,0.1
2000,Fourth and higher order live births,25 – 29,0.6
2000,Fourth and higher order live births,30 – 34,1.3
2000,Fourth and higher order live births,35 – 39,1.5
2000,Fourth and higher order live births,40 – 44,0.6
2000,Fourth and higher order live births,45 – 49,§
2001,First order live births,15 – 19,3.8
2001,First order live births,20 – 24,22.5
2001,First order live births,25 – 29,35.6
2001,First order live births,30 – 34,30.1
2001,First order live births,35 – 39,9.8
2001,First order live births,40 – 44,1.3
2001,First order live births,45 – 49,§
2001,Second order live births,15 – 19,0.4
2001,Second order live births,20 – 24,5.8
2001,Second order live births,25 – 29,18.4
2001,Second order live births,30 – 34,25.4
2001,Second order live births,35 – 39,14
2001,Second order live births,40 – 44,2
2001,Second order live births,45 – 49,0.1
2001,Third order live births,15 – 19,§
2001,Third order live births,20 – 24,0.6
2001,Third order live births,25 – 29,2.6
2001,Third order live births,30 – 34,5.1
2001,Third order live births,35 – 39,4.3
2001,Third order live births,40 – 44,0.9
2001,Third order live births,45 – 49,§
2001,Fourth and higher order live births,15 – 19,§
2001,Fourth and higher order live births,20 – 24,0.1
2001,Fourth and higher order live births,25 – 29,0.6
2001,Fourth and higher order live births,30 – 34,1.1
2001,Fourth and higher order live births,35 – 39,1.3
2001,Fourth and higher order live births,40 – 44,0.4
2001,Fourth and higher order live births,45 – 49,§
2002,First order live births,15 – 19,3.5
2002,First order live births,20 – 24,23.8
2002,First order live births,25 – 29,36.1
2002,First order live births,30 – 34,30.9
2002,First order live births,35 – 39,9.5
2002,First order live births,40 – 44,1.2
2002,First order live births,45 – 49,0.1
2002,Second order live births,15 – 19,0.4
2002,Second order live births,20 – 24,5.8
2002,Second order live births,25 – 29,19.4
2002,Second order live births,30 – 34,25.6
2002,Second order live births,35 – 39,13.1
2002,Second order live births,40 – 44,1.8
2002,Second order live births,45 – 49,0.1
2002,Third order live births,15 – 19,§
2002,Third order live births,20 – 24,0.7
2002,Third order live births,25 – 29,2.7
2002,Third order live births,30 – 34,4.8
2002,Third order live births,35 – 39,3.9
2002,Third order live births,40 – 44,0.9
2002,Third order live births,45 – 49,0.1
2002,Fourth and higher order live births,15 – 19,§
2002,Fourth and higher order live births,20 – 24,0.1
2002,Fourth and higher order live births,25 – 29,0.6
2002,Fourth and higher order live births,30 – 34,1
2002,Fourth and higher order live births,35 – 39,1.1
2002,Fourth and higher order live births,40 – 44,0.5
2002,Fourth and higher order live births,45 – 49,0.1
2003,First order live births,15 – 19,3.4
2003,First order live births,20 – 24,22.8
2003,First order live births,25 – 29,35.3
2003,First order live births,30 – 34,28.3
2003,First order live births,35 – 39,9.5
2003,First order live births,40 – 44,1.3
2003,First order live births,45 – 49,§
2003,Second order live births,15 – 19,0.2
2003,Second order live births,20 – 24,5.6
2003,Second order live births,25 – 29,19.1
2003,Second order live births,30 – 34,24.2
2003,Second order live births,35 – 39,12.8
2003,Second order live births,40 – 44,2.1
2003,Second order live births,45 – 49,0.1
2003,Third order live births,15 – 19,§
2003,Third order live births,20 – 24,0.5
2003,Third order live births,25 – 29,2.4
2003,Third order live births,30 – 34,4.4
2003,Third order live births,35 – 39,3.5
2003,Third order live births,40 – 44,0.8
2003,Third order live births,45 – 49,0.1
2003,Fourth and higher order live births,15 – 19,§
2003,Fourth and higher order live births,20 – 24,0.1
2003,Fourth and higher order live births,25 – 29,0.6
2003,Fourth and higher order live births,30 – 34,1
2003,Fourth and higher order live births,35 – 39,1
2003,Fourth and higher order live births,40 – 44,0.4
2003,Fourth and higher order live births,45 – 49,§
2004,First order live births,15 – 19,3.5
2004,First order live births,20 – 24,23.2
2004,First order live births,25 – 29,35.5
2004,First order live births,30 – 34,30.1
2004,First order live births,35 – 39,10.5
2004,First order live births,40 – 44,1.4
2004,First order live births,45 – 49,0.1
2004,Second order live births,15 – 19,0.3
2004,Second order live births,20 – 24,5
2004,Second order live births,25 – 29,19
2004,Second order live births,30 – 34,25.4
2004,Second order live births,35 – 39,12.7
2004,Second order live births,40 – 44,1.9
2004,Second order live births,45 – 49,0.1
2004,Third order live births,15 – 19,§
2004,Third order live births,20 – 24,0.5
2004,Third order live births,25 – 29,2.5
2004,Third order live births,30 – 34,4.8
2004,Third order live births,35 – 39,3.6
2004,Third order live births,40 – 44,0.9
2004,Third order live births,45 – 49,§
2004,Fourth and higher order live births,15 – 19,§
2004,Fourth and higher order live births,20 – 24,0.1
2004,Fourth and higher order live births,25 – 29,0.4
2004,Fourth and higher order live births,30 – 34,0.9
2004,Fourth and higher order live births,35 – 39,1
2004,Fourth and higher order live births,40 – 44,0.4
2004,Fourth and higher order live births,45 – 49,§
2005,First order live births,15 – 19,3.1
2005,First order live births,20 – 24,22
2005,First order live births,25 – 29,35
2005,First order live births,30 – 34,32.5
2005,First order live births,35 – 39,11.3
2005,First order live births,40 – 44,1.4
2005,First order live births,45 – 49,0.1
2005,Second order live births,15 – 19,0.2
2005,Second order live births,20 – 24,4.8
2005,Second order live births,25 – 29,19.9
2005,Second order live births,30 – 34,28.5
2005,Second order live births,35 – 39,15.1
2005,Second order live births,40 – 44,2.2
2005,Second order live births,45 – 49,0.1
2005,Third order live births,15 – 19,§
2005,Third order live births,20 – 24,0.5
2005,Third order live births,25 – 29,2.7
2005,Third order live births,30 – 34,5
2005,Third order live births,35 – 39,3.8
2005,Third order live births,40 – 44,0.9
2005,Third order live births,45 – 49,0.1
2005,Fourth and higher order live births,15 – 19,§
2005,Fourth and higher order live births,20 – 24,0.1
2005,Fourth and higher order live births,25 – 29,0.5
2005,Fourth and higher order live births,30 – 34,0.9
2005,Fourth and higher order live births,35 – 39,1
2005,Fourth and higher order live births,40 – 44,0.3
2005,Fourth and higher order live births,45 – 49,0.1
2006,First order live births,15 – 19,3
2006,First order live births,20 – 24,19.8
2006,First order live births,25 – 29,32.7
2006,First order live births,30 – 34,32.8
2006,First order live births,35 – 39,12.1
2006,First order live births,40 – 44,1.6
2006,First order live births,45 – 49,0.1
2006,Second order live births,15 – 19,0.2
2006,Second order live births,20 – 24,4.8
2006,Second order live births,25 – 29,20.7
2006,Second order live births,30 – 34,32.3
2006,Second order live births,35 – 39,17.7
2006,Second order live births,40 – 44,2.3
2006,Second order live births,45 – 49,0.1
2006,Third order live births,15 – 19,§
2006,Third order live births,20 – 24,0.4
2006,Third order live births,25 – 29,2.7
2006,Third order live births,30 – 34,5.6
2006,Third order live births,35 – 39,4.3
2006,Third order live births,40 – 44,0.9
2006,Third order live births,45 – 49,§
2006,Fourth and higher order live births,15 – 19,§
2006,Fourth and higher order live births,20 – 24,0.1
2006,Fourth and higher order live births,25 – 29,0.5
2006,Fourth and higher order live births,30 – 34,1
2006,Fourth and higher order live births,35 – 39,1
2006,Fourth and higher order live births,40 – 44,0.4
2006,Fourth and higher order live births,45 – 49,§
2007,First order live births,15 – 19,3
2007,First order live births,20 – 24,18.5
2007,First order live births,25 – 29,32.9
2007,First order live births,30 – 34,34.9
2007,First order live births,35 – 39,13.1
2007,First order live births,40 – 44,1.8
2007,First order live births,45 – 49,0.1
2007,Second order live births,15 – 19,0.3
2007,Second order live births,20 – 24,4.6
2007,Second order live births,25 – 29,20.7
2007,Second order live births,30 – 34,34.2
2007,Second order live births,35 – 39,20.8
2007,Second order live births,40 – 44,2.7
2007,Second order live births,45 – 49,0.1
2007,Third order live births,15 – 19,§
2007,Third order live births,20 – 24,0.4
2007,Third order live births,25 – 29,2.7
2007,Third order live births,30 – 34,5.7
2007,Third order live births,35 – 39,4.6
2007,Third order live births,40 – 44,1
2007,Third order live births,45 – 49,0.1
2007,Fourth and higher order live births,15 – 19,§
2007,Fourth and higher order live births,20 – 24,0.1
2007,Fourth and higher order live births,25 – 29,0.4
2007,Fourth and higher order live births,30 – 34,0.8
2007,Fourth and higher order live births,35 – 39,1
2007,Fourth and higher order live births,40 – 44,0.3
2007,Fourth and higher order live births,45 – 49,0.1
2008,First order live births,15 – 19,2.8
2008,First order live births,20 – 24,18
2008,First order live births,25 – 29,32.1
2008,First order live births,30 – 34,35.1
2008,First order live births,35 – 39,13.8
2008,First order live births,40 – 44,2
2008,First order live births,45 – 49,0.1
2008,Second order live births,15 – 19,0.2
2008,Second order live births,20 – 24,4.6
2008,Second order live births,25 – 29,21.1
2008,Second order live births,30 – 34,37.5
2008,Second order live births,35 – 39,23.2
2008,Second order live births,40 – 44,3.4
2008,Second order live births,45 – 49,0.2
2008,Third order live births,15 – 19,§
2008,Third order live births,20 – 24,0.4
2008,Third order live births,25 – 29,2.7
2008,Third order live births,30 – 34,5.9
2008,Third order live births,35 – 39,5
2008,Third order live births,40 – 44,1.1
2008,Third order live births,45 – 49,0.1
2008,Fourth and higher order live births,15 – 19,§
2008,Fourth and higher order live births,20 – 24,§
2008,Fourth and higher order live births,25 – 29,0.4
2008,Fourth and higher order live births,30 – 34,1
2008,Fourth and higher order live births,35 – 39,1.2
2008,Fourth and higher order live births,40 – 44,0.4
2008,Fourth and higher order live births,45 – 49,§
2009,First order live births,15 – 19,2.9
2009,First order live births,20 – 24,19
2009,First order live births,25 – 29,30
2009,First order live births,30 – 34,33.6
2009,First order live births,35 – 39,13.1
2009,First order live births,40 – 44,1.8
2009,First order live births,45 – 49,0.1
2009,Second order live births,15 – 19,0.2
2009,Second order live births,20 – 24,5
2009,Second order live births,25 – 29,21.4
2009,Second order live births,30 – 34,38
2009,Second order live births,35 – 39,24.3
2009,Second order live births,40 – 44,3.6
2009,Second order live births,45 – 49,0.2
2009,Third order live births,15 – 19,§
2009,Third order live births,20 – 24,0.4
2009,Third order live births,25 – 29,2.6
2009,Third order live births,30 – 34,5.7
2009,Third order live births,35 – 39,4.9
2009,Third order live births,40 – 44,1
2009,Third order live births,45 – 49,0.1
2009,Fourth and higher order live births,15 – 19,§
2009,Fourth and higher order live births,20 – 24,§
2009,Fourth and higher order live births,25 – 29,0.4
2009,Fourth and higher order live births,30 – 34,0.9
2009,Fourth and higher order live births,35 – 39,1
2009,Fourth and higher order live births,40 – 44,0.3
2009,Fourth and higher order live births,45 – 49,§
2010,First order live births,15 – 19,3
2010,First order live births,20 – 24,19.7
2010,First order live births,25 – 29,32.7
2010,First order live births,30 – 34,36.5
2010,First order live births,35 – 39,14.3
2010,First order live births,40 – 44,2
2010,First order live births,45 – 49,0.1
2010,Second order live births,15 – 19,0.3
2010,Second order live births,20 – 24,4.9
2010,Second order live births,25 – 29,21.6
2010,Second order live births,30 – 34,39.3
2010,Second order live births,35 – 39,26.6
2010,Second order live births,40 – 44,4.1
2010,Second order live births,45 – 49,0.1
2010,Third order live births,15 – 19,§
2010,Third order live births,20 – 24,0.5
2010,Third order live births,25 – 29,2.8
2010,Third order live births,30 – 34,6.6
2010,Third order live births,35 – 39,5.7
2010,Third order live births,40 – 44,1.2
2010,Third order live births,45 – 49,§
2010,Fourth and higher order live births,15 – 19,§
2010,Fourth and higher order live births,20 – 24,§
2010,Fourth and higher order live births,25 – 29,0.5
2010,Fourth and higher order live births,30 – 34,1.2
2010,Fourth and higher order live births,35 – 39,1.1
2010,Fourth and higher order live births,40 – 44,0.4
2010,Fourth and higher order live births,45 – 49,§
2011,First order live births,15 – 19,3
2011,First order live births,20 – 24,20.5
2011,First order live births,25 – 29,35.5
2011,First order live births,30 – 34,37.3
2011,First order live births,35 – 39,15.4
2011,First order live births,40 – 44,2.2
2011,First order live births,45 – 49,0.1
2011,Second order live births,15 – 19,0.2
2011,Second order live births,20 – 24,5.4
2011,Second order live births,25 – 29,24.2
2011,Second order live births,30 – 34,41.7
2011,Second order live births,35 – 39,29
2011,Second order live births,40 – 44,4.8
2011,Second order live births,45 – 49,0.2
2011,Third order live births,15 – 19,§
2011,Third order live births,20 – 24,0.6
2011,Third order live births,25 – 29,3.3
2011,Third order live births,30 – 34,6.5
2011,Third order live births,35 – 39,6.3
2011,Third order live births,40 – 44,1.4
2011,Third order live births,45 – 49,0.1
2011,Fourth and higher order live births,15 – 19,§
2011,Fourth and higher order live births,20 – 24,§
2011,Fourth and higher order live births,25 – 29,0.5
2011,Fourth and higher order live births,30 – 34,1.2
2011,Fourth and higher order live births,35 – 39,1.2
2011,Fourth and higher order live births,40 – 44,0.3
2011,Fourth and higher order live births,45 – 49,§
2012,First order live births,15 – 19,2.6
2012,First order live births,20 – 24,15.8
2012,First order live births,25 – 29,36.7
2012,First order live births,30 – 34,45.8
2012,First order live births,35 – 39,17.9
2012,First order live births,40 – 44,2.8
2012,First order live births,45 – 49,0.1
2012,Second order live births,15 – 19,0.3
2012,Second order live births,20 – 24,4.8
2012,Second order live births,25 – 29,23.9
2012,Second order live births,30 – 34,44.8
2012,Second order live births,35 – 39,31.2
2012,Second order live births,40 – 44,5.7
2012,Second order live births,45 – 49,0.2
2012,Third order live births,15 – 19,§
2012,Third order live births,20 – 24,0.4
2012,Third order live births,25 – 29,3.4
2012,Third order live births,30 – 34,7.8
2012,Third order live births,35 – 39,7
2012,Third order live births,40 – 44,1.8
2012,Third order live births,45 – 49,0.1
2012,Fourth and higher order live births,15 – 19,§
2012,Fourth and higher order live births,20 – 24,§
2012,Fourth and higher order live births,25 – 29,0.5
2012,Fourth and higher order live births,30 – 34,1.3
2012,Fourth and higher order live births,35 – 39,1.4
2012,Fourth and higher order live births,40 – 44,0.5
2012,Fourth and higher order live births,45 – 49,0.1
2013,First order live births,15 – 19,2.5
2013,First order live births,20 – 24,14.3
2013,First order live births,25 – 29,36.9
2013,First order live births,30 – 34,47.7
2013,First order live births,35 – 39,21
2013,First order live births,40 – 44,3.6
2013,First order live births,45 – 49,0.2
2013,Second order live births,15 – 19,0.3
2013,Second order live births,20 – 24,3.7
2013,Second order live births,25 – 29,15.5
2013,Second order live births,30 – 34,30.9
2013,Second order live births,35 – 39,24.2
2013,Second order live births,40 – 44,4.8
2013,Second order live births,45 – 49,0.2
2013,Third order live births,15 – 19,§
2013,Third order live births,20 – 24,0.3
2013,Third order live births,25 – 29,2.2
2013,Third order live births,30 – 34,5.6
2013,Third order live births,35 – 39,5.7
2013,Third order live births,40 – 44,1.8
2013,Third order live births,45 – 49,0.1
2013,Fourth and higher order live births,15 – 19,§
2013,Fourth and higher order live births,20 – 24,§
2013,Fourth and higher order live births,25 – 29,0.4
2013,Fourth and higher order live births,30 – 34,1.1
2013,Fourth and higher order live births,35 – 39,1.4
2013,Fourth and higher order live births,40 – 44,0.5
2013,Fourth and higher order live births,45 – 49,§
2014,First order live births,15 – 19,2.7
2014,First order live births,20 – 24,14.9
2014,First order live births,25 – 29,40.1
2014,First order live births,30 – 34,52.4
2014,First order live births,35 – 39,22.1
2014,First order live births,40 – 44,3.9
2014,First order live births,45 – 49,0.2
2014,Second order live births,15 – 19,0.3
2014,Second order live births,20 – 24,4.2
2014,Second order live births,25 – 29,17.8
2014,Second order live births,30 – 34,36.1
2014,Second order live births,35 – 39,27.3
2014,Second order live births,40 – 44,5
2014,Second order live births,45 – 49,0.2
2014,Third order live births,15 – 19,§
2014,Third order live births,20 – 24,0.4
2014,Third order live births,25 – 29,2.5
2014,Third order live births,30 – 34,5.5
2014,Third order live births,35 – 39,6.1
2014,Third order live births,40 – 44,1.8
2014,Third order live births,45 – 49,0.1
2014,Fourth and higher order live births,15 – 19,§
2014,Fourth and higher order live births,20 – 24,§
2014,Fourth and higher order live births,25 – 29,0.4
2014,Fourth and higher order live births,30 – 34,1
2014,Fourth and higher order live births,35 – 39,1.4
2014,Fourth and higher order live births,40 – 44,0.6
2014,Fourth and higher order live births,45 – 49,§
2015,First order live births,15 – 19,2.7
2015,First order live births,20 – 24,14.5
2015,First order live births,25 – 29,38.5
2015,First order live births,30 – 34,50.5
2015,First order live births,35 – 39,21.7
2015,First order live births,40 – 44,3.6
2015,First order live births,45 – 49,0.2
2015,Second order live births,15 – 19,0.2
2015,Second order live births,20 – 24,4.2
2015,Second order live births,25 – 29,17.7
2015,Second order live births,30 – 34,34.3
2015,Second order live births,35 – 39,26.2
2015,Second order live births,40 – 44,4.9
2015,Second order live births,45 – 49,0.2
2015,Third order live births,15 – 19,§
2015,Third order live births,20 – 24,0.5
2015,Third order live births,25 – 29,2.6
2015,Third order live births,30 – 34,5.7
2015,Third order live births,35 – 39,6
2015,Third order live births,40 – 44,1.9
2015,Third order live births,45 – 49,0.1
2015,Fourth and higher order live births,15 – 19,§
2015,Fourth and higher order live births,20 – 24,0.1
2015,Fourth and higher order live births,25 – 29,0.4
2015,Fourth and higher order live births,30 – 34,1.2
2015,Fourth and higher order live births,35 – 39,1.3
2015,Fourth and higher order live births,40 – 44,0.6
2015,Fourth and higher order live births,45 – 49,0.1
2016,First order live births,15 – 19,2.4
2016,First order live births,20 – 24,13.4
2016,First order live births,25 – 29,38.2
2016,First order live births,30 – 34,49.6
2016,First order live births,35 – 39,22.4
2016,First order live births,40 – 44,3.7
2016,First order live births,45 – 49,0.2
2016,Second order live births,15 – 19,0.3
2016,Second order live births,20 – 24,3.9
2016,Second order live births,25 – 29,18.1
2016,Second order live births,30 – 34,36.2
2016,Second order live births,35 – 39,27
