Yr,Pre_marital_s1,Pre_marital_s2,Age_gp,No_of_marri
1995,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1995,Previous marital status of bridegrooms,Others,16 – 19,–
1995,Previous marital status of bridegrooms,Total,16 – 19,289
1995,Previous marital status of bridegrooms,Never married,20 – 24,4331
1995,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,7
1995,Previous marital status of bridegrooms,Others,20 – 24,–
1995,Previous marital status of bridegrooms,Total,20 – 24,4338
1995,Previous marital status of bridegrooms,Never married,25 – 29,12523
1995,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,188
1995,Previous marital status of bridegrooms,Others,25 – 29,–
1995,Previous marital status of bridegrooms,Total,25 – 29,12711
1995,Previous marital status of bridegrooms,Never married,30 – 34,11051
1995,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,652
1995,Previous marital status of bridegrooms,Others,30 – 34,–
1995,Previous marital status of bridegrooms,Total,30 – 34,11703
1995,Previous marital status of bridegrooms,Never married,35 – 39,3966
1995,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,805
1995,Previous marital status of bridegrooms,Others,35 – 39,–
1995,Previous marital status of bridegrooms,Total,35 – 39,4771
1995,Previous marital status of bridegrooms,Never married,40 – 44,1136
1995,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,617
1995,Previous marital status of bridegrooms,Others,40 – 44,15
1995,Previous marital status of bridegrooms,Total,40 – 44,1768
1995,Previous marital status of bridegrooms,Never married,45 – 49,398
1995,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,425
1995,Previous marital status of bridegrooms,Others,45 – 49,55
1995,Previous marital status of bridegrooms,Total,45 – 49,878
1995,Previous marital status of bridegrooms,Never married,50+,386
1995,Previous marital status of bridegrooms,Widowed / Divorced,50+,546
1995,Previous marital status of bridegrooms,Others,50+,1396
1995,Previous marital status of bridegrooms,Total,50+,2328
1996,Previous marital status of bridegrooms,Never married,16 – 19,321
1996,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1996,Previous marital status of bridegrooms,Others,16 – 19,–
1996,Previous marital status of bridegrooms,Total,16 – 19,321
1996,Previous marital status of bridegrooms,Never married,20 – 24,4180
1996,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,12
1996,Previous marital status of bridegrooms,Others,20 – 24,–
1996,Previous marital status of bridegrooms,Total,20 – 24,4192
1996,Previous marital status of bridegrooms,Never married,25 – 29,11444
1996,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,174
1996,Previous marital status of bridegrooms,Others,25 – 29,–
1996,Previous marital status of bridegrooms,Total,25 – 29,11618
1996,Previous marital status of bridegrooms,Never married,30 – 34,9841
1996,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,721
1996,Previous marital status of bridegrooms,Others,30 – 34,–
1996,Previous marital status of bridegrooms,Total,30 – 34,10562
1996,Previous marital status of bridegrooms,Never married,35 – 39,3929
1996,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,916
1996,Previous marital status of bridegrooms,Others,35 – 39,–
1996,Previous marital status of bridegrooms,Total,35 – 39,4845
1996,Previous marital status of bridegrooms,Never married,40 – 44,1121
1996,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,681
1996,Previous marital status of bridegrooms,Others,40 – 44,6
1996,Previous marital status of bridegrooms,Total,40 – 44,1808
1996,Previous marital status of bridegrooms,Never married,45 – 49,409
1996,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,462
1996,Previous marital status of bridegrooms,Others,45 – 49,43
1996,Previous marital status of bridegrooms,Total,45 – 49,914
1996,Previous marital status of bridegrooms,Never married,50+,432
1996,Previous marital status of bridegrooms,Widowed / Divorced,50+,650
1996,Previous marital status of bridegrooms,Others,50+,1703
1996,Previous marital status of bridegrooms,Total,50+,2785
1997,Previous marital status of bridegrooms,Never married,16 – 19,279
1997,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1997,Previous marital status of bridegrooms,Others,16 – 19,–
1997,Previous marital status of bridegrooms,Total,16 – 19,279
1997,Previous marital status of bridegrooms,Never married,20 – 24,4831
1997,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,11
1997,Previous marital status of bridegrooms,Others,20 – 24,–
1997,Previous marital status of bridegrooms,Total,20 – 24,4842
1997,Previous marital status of bridegrooms,Never married,25 – 29,12339
1997,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,227
1997,Previous marital status of bridegrooms,Others,25 – 29,–
1997,Previous marital status of bridegrooms,Total,25 – 29,12566
1997,Previous marital status of bridegrooms,Never married,30 – 34,9662
1997,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,723
1997,Previous marital status of bridegrooms,Others,30 – 34,–
1997,Previous marital status of bridegrooms,Total,30 – 34,10385
1997,Previous marital status of bridegrooms,Never married,35 – 39,3868
1997,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,972
1997,Previous marital status of bridegrooms,Others,35 – 39,–
1997,Previous marital status of bridegrooms,Total,35 – 39,4840
1997,Previous marital status of bridegrooms,Never married,40 – 44,1061
1997,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,744
1997,Previous marital status of bridegrooms,Others,40 – 44,–
1997,Previous marital status of bridegrooms,Total,40 – 44,1805
1997,Previous marital status of bridegrooms,Never married,45 – 49,417
1997,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,491
1997,Previous marital status of bridegrooms,Others,45 – 49,34
1997,Previous marital status of bridegrooms,Total,45 – 49,942
1997,Previous marital status of bridegrooms,Never married,50+,411
1997,Previous marital status of bridegrooms,Widowed / Divorced,50+,689
1997,Previous marital status of bridegrooms,Others,50+,834
1997,Previous marital status of bridegrooms,Total,50+,1934
1998,Previous marital status of bridegrooms,Never married,16 – 19,295
1998,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1998,Previous marital status of bridegrooms,Others,16 – 19,–
1998,Previous marital status of bridegrooms,Total,16 – 19,295
1998,Previous marital status of bridegrooms,Never married,20 – 24,3809
1998,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,19
1998,Previous marital status of bridegrooms,Others,20 – 24,–
1998,Previous marital status of bridegrooms,Total,20 – 24,3828
1998,Previous marital status of bridegrooms,Never married,25 – 29,9978
1998,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,237
1998,Previous marital status of bridegrooms,Others,25 – 29,–
1998,Previous marital status of bridegrooms,Total,25 – 29,10215
1998,Previous marital status of bridegrooms,Never married,30 – 34,7740
1998,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,664
1998,Previous marital status of bridegrooms,Others,30 – 34,–
1998,Previous marital status of bridegrooms,Total,30 – 34,8404
1998,Previous marital status of bridegrooms,Never married,35 – 39,3533
1998,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,878
1998,Previous marital status of bridegrooms,Others,35 – 39,–
1998,Previous marital status of bridegrooms,Total,35 – 39,4411
1998,Previous marital status of bridegrooms,Never married,40 – 44,1138
1998,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,774
1998,Previous marital status of bridegrooms,Others,40 – 44,–
1998,Previous marital status of bridegrooms,Total,40 – 44,1912
1998,Previous marital status of bridegrooms,Never married,45 – 49,420
1998,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,503
1998,Previous marital status of bridegrooms,Others,45 – 49,11
1998,Previous marital status of bridegrooms,Total,45 – 49,934
1998,Previous marital status of bridegrooms,Never married,50+,392
1998,Previous marital status of bridegrooms,Widowed / Divorced,50+,766
1998,Previous marital status of bridegrooms,Others,50+,516
1998,Previous marital status of bridegrooms,Total,50+,1674
1999,Previous marital status of bridegrooms,Never married,16 – 19,250
1999,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1999,Previous marital status of bridegrooms,Others,16 – 19,–
1999,Previous marital status of bridegrooms,Total,16 – 19,250
1999,Previous marital status of bridegrooms,Never married,20 – 24,3499
1999,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,20
1999,Previous marital status of bridegrooms,Others,20 – 24,–
1999,Previous marital status of bridegrooms,Total,20 – 24,3519
1999,Previous marital status of bridegrooms,Never married,25 – 29,9887
1999,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,191
1999,Previous marital status of bridegrooms,Others,25 – 29,–
1999,Previous marital status of bridegrooms,Total,25 – 29,10078
1999,Previous marital status of bridegrooms,Never married,30 – 34,7605
1999,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,637
1999,Previous marital status of bridegrooms,Others,30 – 34,–
1999,Previous marital status of bridegrooms,Total,30 – 34,8242
1999,Previous marital status of bridegrooms,Never married,35 – 39,3602
1999,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,932
1999,Previous marital status of bridegrooms,Others,35 – 39,–
1999,Previous marital status of bridegrooms,Total,35 – 39,4534
1999,Previous marital status of bridegrooms,Never married,40 – 44,1193
1999,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,836
1999,Previous marital status of bridegrooms,Others,40 – 44,–
1999,Previous marital status of bridegrooms,Total,40 – 44,2029
1999,Previous marital status of bridegrooms,Never married,45 – 49,411
1999,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,487
1999,Previous marital status of bridegrooms,Others,45 – 49,5
1999,Previous marital status of bridegrooms,Total,45 – 49,903
1999,Previous marital status of bridegrooms,Never married,50+,375
1999,Previous marital status of bridegrooms,Widowed / Divorced,50+,825
1999,Previous marital status of bridegrooms,Others,50+,532
1999,Previous marital status of bridegrooms,Total,50+,1732
2000,Previous marital status of bridegrooms,Never married,16 – 19,232
2000,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2000,Previous marital status of bridegrooms,Others,16 – 19,–
2000,Previous marital status of bridegrooms,Total,16 – 19,232
2000,Previous marital status of bridegrooms,Never married,20 – 24,3076
2000,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,15
2000,Previous marital status of bridegrooms,Others,20 – 24,–
2000,Previous marital status of bridegrooms,Total,20 – 24,3091
2000,Previous marital status of bridegrooms,Never married,25 – 29,9774
2000,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,223
2000,Previous marital status of bridegrooms,Others,25 – 29,–
2000,Previous marital status of bridegrooms,Total,25 – 29,9997
2000,Previous marital status of bridegrooms,Never married,30 – 34,7349
2000,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,678
2000,Previous marital status of bridegrooms,Others,30 – 34,–
2000,Previous marital status of bridegrooms,Total,30 – 34,8027
2000,Previous marital status of bridegrooms,Never married,35 – 39,3625
2000,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,984
2000,Previous marital status of bridegrooms,Others,35 – 39,–
2000,Previous marital status of bridegrooms,Total,35 – 39,4609
2000,Previous marital status of bridegrooms,Never married,40 – 44,1189
2000,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,858
2000,Previous marital status of bridegrooms,Others,40 – 44,–
2000,Previous marital status of bridegrooms,Total,40 – 44,2047
2000,Previous marital status of bridegrooms,Never married,45 – 49,436
2000,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,637
2000,Previous marital status of bridegrooms,Others,45 – 49,4
2000,Previous marital status of bridegrooms,Total,45 – 49,1077
2000,Previous marital status of bridegrooms,Never married,50+,495
2000,Previous marital status of bridegrooms,Widowed / Divorced,50+,977
2000,Previous marital status of bridegrooms,Others,50+,327
2000,Previous marital status of bridegrooms,Total,50+,1799
2001,Previous marital status of bridegrooms,Never married,16 – 19,208
2001,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2001,Previous marital status of bridegrooms,Others,16 – 19,–
2001,Previous marital status of bridegrooms,Total,16 – 19,208
2001,Previous marital status of bridegrooms,Never married,20 – 24,3148
2001,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,21
2001,Previous marital status of bridegrooms,Others,20 – 24,–
2001,Previous marital status of bridegrooms,Total,20 – 24,3169
2001,Previous marital status of bridegrooms,Never married,25 – 29,10129
2001,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,244
2001,Previous marital status of bridegrooms,Others,25 – 29,–
2001,Previous marital status of bridegrooms,Total,25 – 29,10373
2001,Previous marital status of bridegrooms,Never married,30 – 34,7864
2001,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,682
2001,Previous marital status of bridegrooms,Others,30 – 34,–
2001,Previous marital status of bridegrooms,Total,30 – 34,8546
2001,Previous marital status of bridegrooms,Never married,35 – 39,3894
2001,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,997
2001,Previous marital status of bridegrooms,Others,35 – 39,–
2001,Previous marital status of bridegrooms,Total,35 – 39,4891
2001,Previous marital status of bridegrooms,Never married,40 – 44,1381
2001,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,918
2001,Previous marital status of bridegrooms,Others,40 – 44,1
2001,Previous marital status of bridegrooms,Total,40 – 44,2300
2001,Previous marital status of bridegrooms,Never married,45 – 49,484
2001,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,770
2001,Previous marital status of bridegrooms,Others,45 – 49,2
2001,Previous marital status of bridegrooms,Total,45 – 49,1256
2001,Previous marital status of bridegrooms,Never married,50+,667
2001,Previous marital status of bridegrooms,Widowed / Divorced,50+,1151
2001,Previous marital status of bridegrooms,Others,50+,264
2001,Previous marital status of bridegrooms,Total,50+,2082
2002,Previous marital status of bridegrooms,Never married,16 – 19,210
2002,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,1
2002,Previous marital status of bridegrooms,Others,16 – 19,–
2002,Previous marital status of bridegrooms,Total,16 – 19,211
2002,Previous marital status of bridegrooms,Never married,20 – 24,2909
2002,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,21
2002,Previous marital status of bridegrooms,Others,20 – 24,–
2002,Previous marital status of bridegrooms,Total,20 – 24,2930
2002,Previous marital status of bridegrooms,Never married,25 – 29,9038
2002,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,237
2002,Previous marital status of bridegrooms,Others,25 – 29,–
2002,Previous marital status of bridegrooms,Total,25 – 29,9275
2002,Previous marital status of bridegrooms,Never married,30 – 34,7421
2002,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,703
2002,Previous marital status of bridegrooms,Others,30 – 34,–
2002,Previous marital status of bridegrooms,Total,30 – 34,8124
2002,Previous marital status of bridegrooms,Never married,35 – 39,3717
2002,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1067
2002,Previous marital status of bridegrooms,Others,35 – 39,–
2002,Previous marital status of bridegrooms,Total,35 – 39,4784
2002,Previous marital status of bridegrooms,Never married,40 – 44,1528
2002,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,1161
2002,Previous marital status of bridegrooms,Others,40 – 44,1
2002,Previous marital status of bridegrooms,Total,40 – 44,2690
2002,Previous marital status of bridegrooms,Never married,45 – 49,594
2002,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,917
2002,Previous marital status of bridegrooms,Others,45 – 49,–
2002,Previous marital status of bridegrooms,Total,45 – 49,1511
2002,Previous marital status of bridegrooms,Never married,50+,733
2002,Previous marital status of bridegrooms,Widowed / Divorced,50+,1612
2002,Previous marital status of bridegrooms,Others,50+,200
2002,Previous marital status of bridegrooms,Total,50+,2545
2003,Previous marital status of bridegrooms,Never married,16 – 19,178
2003,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2003,Previous marital status of bridegrooms,Others,16 – 19,–
2003,Previous marital status of bridegrooms,Total,16 – 19,178
2003,Previous marital status of bridegrooms,Never married,20 – 24,2822
2003,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,10
2003,Previous marital status of bridegrooms,Others,20 – 24,–
2003,Previous marital status of bridegrooms,Total,20 – 24,2832
2003,Previous marital status of bridegrooms,Never married,25 – 29,9621
2003,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,234
2003,Previous marital status of bridegrooms,Others,25 – 29,–
2003,Previous marital status of bridegrooms,Total,25 – 29,9855
2003,Previous marital status of bridegrooms,Never married,30 – 34,8676
2003,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,826
2003,Previous marital status of bridegrooms,Others,30 – 34,–
2003,Previous marital status of bridegrooms,Total,30 – 34,9502
2003,Previous marital status of bridegrooms,Never married,35 – 39,3974
2003,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1198
2003,Previous marital status of bridegrooms,Others,35 – 39,–
2003,Previous marital status of bridegrooms,Total,35 – 39,5172
2003,Previous marital status of bridegrooms,Never married,40 – 44,1762
2003,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,1318
2003,Previous marital status of bridegrooms,Others,40 – 44,–
2003,Previous marital status of bridegrooms,Total,40 – 44,3080
2003,Previous marital status of bridegrooms,Never married,45 – 49,674
2003,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,1134
2003,Previous marital status of bridegrooms,Others,45 – 49,1
2003,Previous marital status of bridegrooms,Total,45 – 49,1809
2003,Previous marital status of bridegrooms,Never married,50+,950
2003,Previous marital status of bridegrooms,Widowed / Divorced,50+,1933
2003,Previous marital status of bridegrooms,Others,50+,128
2003,Previous marital status of bridegrooms,Total,50+,3011
2004,Previous marital status of bridegrooms,Never married,16 – 19,208
2004,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2004,Previous marital status of bridegrooms,Others,16 – 19,–
2004,Previous marital status of bridegrooms,Total,16 – 19,208
2004,Previous marital status of bridegrooms,Never married,20 – 24,3075
2004,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,14
2004,Previous marital status of bridegrooms,Others,20 – 24,–
2004,Previous marital status of bridegrooms,Total,20 – 24,3089
2004,Previous marital status of bridegrooms,Never married,25 – 29,10350
2004,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,258
2004,Previous marital status of bridegrooms,Others,25 – 29,–
2004,Previous marital status of bridegrooms,Total,25 – 29,10608
2004,Previous marital status of bridegrooms,Never married,30 – 34,10190
2004,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,967
2004,Previous marital status of bridegrooms,Others,30 – 34,–
2004,Previous marital status of bridegrooms,Total,30 – 34,11157
2004,Previous marital status of bridegrooms,Never married,35 – 39,4798
2004,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1428
2004,Previous marital status of bridegrooms,Others,35 – 39,–
2004,Previous marital status of bridegrooms,Total,35 – 39,6226
2004,Previous marital status of bridegrooms,Never married,40 – 44,2201
2004,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,1636
2004,Previous marital status of bridegrooms,Others,40 – 44,–
2004,Previous marital status of bridegrooms,Total,40 – 44,3837
2004,Previous marital status of bridegrooms,Never married,45 – 49,871
2004,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,1401
2004,Previous marital status of bridegrooms,Others,45 – 49,–
2004,Previous marital status of bridegrooms,Total,45 – 49,2272
2004,Previous marital status of bridegrooms,Never married,50+,1252
2004,Previous marital status of bridegrooms,Widowed / Divorced,50+,2579
2004,Previous marital status of bridegrooms,Others,50+,148
2004,Previous marital status of bridegrooms,Total,50+,3979
2005,Previous marital status of bridegrooms,Never married,16 – 19,220
2005,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2005,Previous marital status of bridegrooms,Others,16 – 19,–
2005,Previous marital status of bridegrooms,Total,16 – 19,220
2005,Previous marital status of bridegrooms,Never married,20 – 24,3512
2005,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,13
2005,Previous marital status of bridegrooms,Others,20 – 24,–
2005,Previous marital status of bridegrooms,Total,20 – 24,3525
2005,Previous marital status of bridegrooms,Never married,25 – 29,9662
2005,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,286
2005,Previous marital status of bridegrooms,Others,25 – 29,–
2005,Previous marital status of bridegrooms,Total,25 – 29,9948
2005,Previous marital status of bridegrooms,Never married,30 – 34,9759
2005,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1075
2005,Previous marital status of bridegrooms,Others,30 – 34,–
