Yr_of_birth,Age,Avg_born
1940,16,0.0043
1940,17,0.0153
1940,18,0.0445
1940,19,0.0981
1940,20,0.1992
1940,21,0.3289
1940,22,0.5054
1940,23,0.7178
1940,24,0.971
1940,25,1.2425
1940,26,1.528
1940,27,1.8129
1940,28,2.0777
1940,29,2.3297
1940,30,2.5476
1940,31,2.8361
1940,32,3.0114
1940,33,3.1619
1940,34,3.2829
1940,35,3.3816
1940,36,3.4567
1940,37,3.5144
1940,38,3.5587
1940,39,3.5974
1940,40,3.6203
1940,41,3.6368
1940,42,3.6442
1940,43,3.6504
1940,44,3.6532
1940,45,3.6547
1940,46,3.6557
1940,47,3.656
1940,48,3.6561
1940,49,3.6563
1940,50,3.6566
1941,16,0.0035
1941,17,0.0208
1941,18,0.0533
1941,19,0.101
1941,20,0.2081
1941,21,0.3435
1941,22,0.537
1941,23,0.7664
1941,24,1.0214
1941,25,1.2826
1941,26,1.5514
1941,27,1.8389
1941,28,2.1084
1941,29,2.3668
1941,30,2.5308
1941,31,2.7142
1941,32,2.8637
1941,33,3.0046
1941,34,3.1081
1941,35,3.1911
1941,36,3.2623
1941,37,3.3152
1941,38,3.3545
1941,39,3.3889
1941,40,3.4114
1941,41,3.4252
1941,42,3.4334
1941,43,3.4384
1941,44,3.4414
1941,45,3.443
1941,46,3.4436
1941,47,3.4439
1941,48,3.4442
1941,49,3.4443
1941,50,3.4445
1942,16,0.0075
1942,17,0.0191
1942,18,0.0465
1942,19,0.0985
1942,20,0.1902
1942,21,0.3325
1942,22,0.5247
1942,23,0.7388
1942,24,0.981
1942,25,1.2423
1942,26,1.5023
1942,27,1.7705
1942,28,2.0106
1942,29,2.2351
1942,30,2.4219
1942,31,2.6028
1942,32,2.7387
1942,33,2.864
1942,34,2.9634
1942,35,3.0444
1942,36,3.1096
1942,37,3.1596
1942,38,3.1967
1942,39,3.2263
1942,40,3.2444
1942,41,3.2565
1942,42,3.263
1942,43,3.267
1942,44,3.2692
1942,45,3.2704
1942,46,3.271
1942,47,3.2714
1942,48,3.2717
1942,49,3.2717
1942,50,3.2718
1943,16,0.007
1943,17,0.0224
1943,18,0.0608
1943,19,0.1349
1943,20,0.2307
1943,21,0.3614
1943,22,0.5473
1943,23,0.7591
1943,24,1.0108
1943,25,1.2841
1943,26,1.5483
1943,27,1.7846
1943,28,2.0318
1943,29,2.2667
1943,30,2.4717
1943,31,2.6676
1943,32,2.8168
1943,33,2.9429
1943,34,3.0424
1943,35,3.1271
1943,36,3.1958
1943,37,3.2472
1943,38,3.2807
1943,39,3.3079
1943,40,3.326
1943,41,3.3362
1943,42,3.3424
1943,43,3.3466
1943,44,3.3489
1943,45,3.3503
1943,46,3.3506
1943,47,3.351
1943,48,3.3512
1943,49,3.3513
1943,50,3.3513
1944,16,0.0065
1944,17,0.0189
1944,18,0.0517
1944,19,0.1238
1944,20,0.2201
1944,21,0.3813
1944,22,0.5824
1944,23,0.8333
1944,24,1.1019
1944,25,1.398
1944,26,1.6934
1944,27,1.9592
1944,28,2.2259
1944,29,2.4703
1944,30,2.6909
1944,31,2.8954
1944,32,3.0416
1944,33,3.1667
1944,34,3.26
1944,35,3.3387
1944,36,3.4039
1944,37,3.4527
1944,38,3.4835
1944,39,3.5092
1944,40,3.524
1944,41,3.5346
1944,42,3.5408
1944,43,3.5448
1944,44,3.5469
1944,45,3.548
1944,46,3.5483
1944,47,3.5487
1944,48,3.5487
1944,49,3.5489
1944,50,3.5491
1945,16,0.004
1945,17,0.0201
1945,18,0.05
1945,19,0.1137
1945,20,0.2101
1945,21,0.3496
1945,22,0.5213
1945,23,0.7257
1945,24,0.9565
1945,25,1.2125
1945,26,1.4491
1945,27,1.7085
1945,28,1.9719
1945,29,2.2046
1945,30,2.3854
1945,31,2.5449
1945,32,2.6584
1945,33,2.7653
1945,34,2.8467
1945,35,2.9167
1945,36,2.9744
1945,37,3.0164
1945,38,3.0474
1945,39,3.0677
1945,40,3.0818
1945,41,3.0906
1945,42,3.0953
1945,43,3.0991
1945,44,3.1011
1945,45,3.1023
1945,46,3.1029
1945,47,3.1032
1945,48,3.1033
1945,49,3.1035
1945,50,3.1036
1946,16,0.009
1946,17,0.0221
1946,18,0.0569
1946,19,0.1125
1946,20,0.203
1946,21,0.3369
1946,22,0.5011
1946,23,0.7019
1946,24,0.9253
1946,25,1.1979
1946,26,1.4578
1946,27,1.7314
1946,28,1.9743
1946,29,2.1946
1946,30,2.3579
1946,31,2.5088
1946,32,2.6153
1946,33,2.721
1946,34,2.7971
1946,35,2.8616
1946,36,2.9085
1946,37,2.9476
1946,38,2.9733
1946,39,2.991
1946,40,3.0031
1946,41,3.0099
1946,42,3.0142
1946,43,3.0172
1946,44,3.0194
1946,45,3.0205
1946,46,3.0212
1946,47,3.0215
1946,48,3.0217
1946,49,3.0217
1946,50,3.0218
1947,16,0.004
1947,17,0.0136
1947,18,0.0389
1947,19,0.0855
1947,20,0.165
1947,21,0.2879
1947,22,0.4373
1947,23,0.624
1947,24,0.8257
1947,25,1.0729
1947,26,1.3172
1947,27,1.5889
1947,28,1.8212
1947,29,2.0284
1947,30,2.2001
1947,31,2.3527
1947,32,2.4693
1947,33,2.5764
1947,34,2.6577
1947,35,2.7184
1947,36,2.7678
1947,37,2.8047
1947,38,2.8313
1947,39,2.8488
1947,40,2.8617
1947,41,2.8695
1947,42,2.8756
1947,43,2.879
1947,44,2.8809
1947,45,2.8818
1947,46,2.8824
1947,47,2.8828
1947,48,2.8829
1947,49,2.8829
1947,50,2.8832
1948,16,0.0041
1948,17,0.0132
1948,18,0.0412
1948,19,0.0831
1948,20,0.1518
1948,21,0.2482
1948,22,0.3714
1948,23,0.52
1948,24,0.7214
1948,25,0.9489
1948,26,1.1808
1948,27,1.4093
1948,28,1.6098
1948,29,1.8016
1948,30,1.9666
1948,31,2.118
1948,32,2.235
1948,33,2.3377
1948,34,2.4127
1948,35,2.4736
1948,36,2.5176
1948,37,2.5501
1948,38,2.5754
1948,39,2.5922
1948,40,2.6044
1948,41,2.6137
1948,42,2.6197
1948,43,2.6231
1948,44,2.6254
1948,45,2.6264
1948,46,2.6269
1948,47,2.6271
1948,48,2.6273
1948,49,2.6274
1948,50,2.6278
1949,16,0.0015
1949,17,0.0094
1949,18,0.0276
1949,19,0.0674
1949,20,0.1306
1949,21,0.2208
1949,22,0.3295
1949,23,0.4663
1949,24,0.6516
1949,25,0.8576
1949,26,1.0642
1949,27,1.266
1949,28,1.4541
1949,29,1.6385
1949,30,1.8055
1949,31,1.9536
1949,32,2.0623
1949,33,2.1583
1949,34,2.2284
1949,35,2.2861
1949,36,2.3293
1949,37,2.3626
1949,38,2.3878
1949,39,2.4048
1949,40,2.4179
1949,41,2.427
1949,42,2.4322
1949,43,2.4358
1949,44,2.4374
1949,45,2.4383
1949,46,2.4388
1949,47,2.4392
1949,48,2.4393
1949,49,2.4393
1949,50,2.4396
1950,16,0.0014
1950,17,0.01
1950,18,0.0258
1950,19,0.0585
1950,20,0.1184
1950,21,0.195
1950,22,0.3043
1950,23,0.4377
1950,24,0.6099
1950,25,0.8098
1950,26,1.0084
1950,27,1.2156
1950,28,1.412
1950,29,1.605
1950,30,1.7657
1950,31,1.909
1950,32,2.0172
1950,33,2.1165
1950,34,2.1872
1950,35,2.2426
1950,36,2.2855
1950,37,2.3184
1950,38,2.3432
1950,39,2.3638
1950,40,2.3768
1950,41,2.3856
1950,42,2.3912
1950,43,2.3948
1950,44,2.3968
1950,45,2.3979
1950,46,2.3984
1950,47,2.3986
1950,48,2.3987
1950,49,2.3988
1950,50,2.3988
1951,16,0.0029
1951,17,0.0095
1951,18,0.0232
1951,19,0.052
1951,20,0.0944
1951,21,0.1662
1951,22,0.2693
1951,23,0.3997
1951,24,0.5689
1951,25,0.751
1951,26,0.9346
1951,27,1.1258
1951,28,1.3081
1951,29,1.4869
1951,30,1.6387
1951,31,1.7733
1951,32,1.8818
1951,33,1.9664
1951,34,2.0328
1951,35,2.0864
1951,36,2.1285
1951,37,2.1615
1951,38,2.1888
1951,39,2.2085
1951,40,2.221
1951,41,2.23
1951,42,2.2366
1951,43,2.2403
1951,44,2.2423
1951,45,2.2433
1951,46,2.2436
1951,47,2.2438
1951,48,2.2439
1951,49,2.244
1951,50,2.2441
1952,16,0.0021
1952,17,0.0082
1952,18,0.0241
1952,19,0.0525
1952,20,0.0954
1952,21,0.1688
1952,22,0.264
1952,23,0.3969
1952,24,0.5424
1952,25,0.7087
1952,26,0.8846
1952,27,1.0582
1952,28,1.2214
1952,29,1.3886
1952,30,1.5324
1952,31,1.6582
1952,32,1.7619
1952,33,1.8437
1952,34,1.9101
1952,35,1.9624
1952,36,2.0059
1952,37,2.0421
1952,38,2.0683
1952,39,2.0872
1952,40,2.1018
1952,41,2.111
1952,42,2.1172
1952,43,2.1206
1952,44,2.1225
1952,45,2.1236
1952,46,2.1243
1952,47,2.1245
1952,48,2.1247
1952,49,2.1247
1952,50,2.1248
1953,16,0.0016
1953,17,0.0068
1953,18,0.0214
1953,19,0.0484
1953,20,0.0925
1953,21,0.1654
1953,22,0.2653
1953,23,0.3857
1953,24,0.5204
1953,25,0.6765
1953,26,0.8406
1953,27,1.0042
1953,28,1.1647
1953,29,1.3185
1953,30,1.4564
1953,31,1.5691
1953,32,1.6624
1953,33,1.7395
1953,34,1.8025
1953,35,1.8559
1953,36,1.9023
1953,37,1.9381
1953,38,1.9637
1953,39,1.9835
1953,40,1.9969
1953,41,2.0069
1953,42,2.0124
1953,43,2.0156
1953,44,2.0177
1953,45,2.0187
1953,46,2.0192
1953,47,2.0195
1953,48,2.0196
1953,49,2.0197
1953,50,2.0197
1954,16,0.0029
1954,17,0.0082
1954,18,0.0221
1954,19,0.0501
1954,20,0.0952
1954,21,0.1692
1954,22,0.2642
1954,23,0.3696
1954,24,0.4998
1954,25,0.6501
1954,26,0.8053
1954,27,0.9725
1954,28,1.132
1954,29,1.2864
1954,30,1.4171
1954,31,1.5275
1954,32,1.6226
1954,33,1.6988
1954,34,1.7671
1954,35,1.8277
1954,36,1.8753
1954,37,1.9116
1954,38,1.9394
1954,39,1.9605
1954,40,1.9758
1954,41,1.9852
1954,42,1.9918
1954,43,1.9955
1954,44,1.9979
1954,45,1.9989
1954,46,1.9996
1954,47,2
1954,48,2.0002
1954,49,2.0003
1954,50,2.0004
1955,16,0.0012
1955,17,0.005
1955,18,0.0194
1955,19,0.0477
1955,20,0.093
1955,21,0.1626
1955,22,0.2475
1955,23,0.3484
1955,24,0.4694
1955,25,0.6067
1955,26,0.7591
1955,27,0.9197
1955,28,1.078
1955,29,1.2213
1955,30,1.3444
1955,31,1.4513
1955,32,1.5418
1955,33,1.6211
1955,34,1.6952
1955,35,1.7539
1955,36,1.799
1955,37,1.8374
1955,38,1.8654
1955,39,1.8863
1955,40,1.901
1955,41,1.9115
1955,42,1.9184
1955,43,1.9231
1955,44,1.9255
1955,45,1.9265
1955,46,1.927
1955,47,1.9272
1955,48,1.9275
1955,49,1.9275
1955,50,1.9277
1956,16,0.0017
1956,17,0.0057
1956,18,0.0204
1956,19,0.0503
1956,20,0.0927
1956,21,0.1533
1956,22,0.2356
1956,23,0.3299
1956,24,0.4424
1956,25,0.5805
1956,26,0.7276
1956,27,0.8817
1956,28,1.0266
1956,29,1.1587
1956,30,1.2768
1956,31,1.3809
1956,32,1.4713
1956,33,1.5587
1956,34,1.6281
1956,35,1.6845
1956,36,1.732
1956,37,1.7696
1956,38,1.7976
1956,39,1.8196
1956,40,1.835
1956,41,1.8451
1956,42,1.8519
1956,43,1.8556
1956,44,1.8576
1956,45,1.8588
1956,46,1.8592
1956,47,1.8594
1956,48,1.8596
1956,49,1.8597
1956,50,1.8599
1957,16,0.0016
1957,17,0.0058
1957,18,0.0204
1957,19,0.05
1957,20,0.0894
1957,21,0.1495
1957,22,0.2259
1957,23,0.315
1957,24,0.426
1957,25,0.5587
1957,26,0.7007
1957,27,0.8445
1957,28,0.9801
1957,29,1.1091
1957,30,1.2207
1957,31,1.3224
1957,32,1.4236
1957,33,1.5064
1957,34,1.5741
1957,35,1.6316
1957,36,1.6817
1957,37,1.7191
1957,38,1.7499
1957,39,1.7705
1957,40,1.7858
1957,41,1.7968
1957,42,1.8032
1957,43,1.8074
1957,44,1.8095
1957,45,1.8107
1957,46,1.8112
1957,47,1.8114
1957,48,1.8115
1957,49,1.8116
1957,50,1.8117
1958,16,0.0019
1958,17,0.0077
1958,18,0.021
1958,19,0.0473
1958,20,0.0864
1958,21,0.1428
1958,22,0.2117
1958,23,0.2989
1958,24,0.4085
1958,25,0.5391
1958,26,0.6758
1958,27,0.8023
1958,28,0.9334
1958,29,1.0543
1958,30,1.1676
1958,31,1.2807
1958,32,1.376
1958,33,1.4583
1958,34,1.5303
1958,35,1.5944
1958,36,1.6444
1958,37,1.6829
1958,38,1.7133
1958,39,1.7351
1958,40,1.7511
1958,41,1.7605
1958,42,1.7663
1958,43,1.7702
1958,44,1.7724
1958,45,1.7736
1958,46,1.7742
1958,47,1.7745
1958,48,1.7745
1958,49,1.7747
1958,50,1.7749
1959,16,0.0016
1959,17,0.0068
1959,18,0.0229
1959,19,0.0482
1959,20,0.0812
1959,21,0.1282
1959,22,0.1947
1959,23,0.2783
1959,24,0.3778
1959,25,0.4952
1959,26,0.6129
1959,27,0.732
1959,28,0.8486
1959,29,0.9617
1959,30,1.0816
1959,31,1.1823
1959,32,1.2726
1959,33,1.3549
1959,34,1.4272
1959,35,1.4889
1959,36,1.5384
1959,37,1.5784
1959,38,1.6079
1959,39,1.6299
1959,40,1.645
1959,41,1.6545
1959,42,1.6604
1959,43,1.664
1959,44,1.666
1959,45,1.667
1959,46,1.6674
1959,47,1.6678
1959,48,1.668
1959,49,1.6681
1959,50,1.6682
1960,16,0.0012
1960,17,0.0063
1960,18,0.0225
1960,19,0.047
1960,20,0.0751
1960,21,0.12
1960,22,0.1849
1960,23,0.2633
1960,24,0.3633
1960,25,0.467
1960,26,0.5785
1960,27,0.6894
1960,28,0.8027
1960,29,0.927
1960,30,1.0336
1960,31,1.1339
1960,32,1.2261
1960,33,1.3105
1960,34,1.38
1960,35,1.4406
1960,36,1.4906
1960,37,1.5306
1960,38,1.5607
1960,39,1.5808
1960,40,1.5944
1960,41,1.604
1960,42,1.61
1960,43,1.6135
1960,44,1.6155
1960,45,1.6164
1960,46,1.617
1960,47,1.6173
1960,48,1.6175
1960,49,1.6177
1960,50,1.6183
1961,16,0.0019
1961,17,0.0078
1961,18,0.0215
1961,19,0.04
1961,20,0.0683
1961,21,0.1112
1961,22,0.1676
1961,23,0.2443
1961,24,0.3269
1961,25,0.4234
1961,26,0.5229
1961,27,0.6258
1961,28,0.7449
1961,29,0.8579
1961,30,0.9651
1961,31,1.0651
1961,32,1.161
1961,33,1.2442
1961,34,1.318
1961,35,1.3803
1961,36,1.4308
1961,37,1.4715
1961,38,1.5003
1961,39,1.5214
1961,40,1.5368
1961,41,1.5466
1961,42,1.5522
1961,43,1.5554
1961,44,1.5575
1961,45,1.5586
1961,46,1.5593
1961,47,1.5598
1961,48,1.5601
1961,49,1.5603
1961,50,1.5603
1962,16,0.0018
1962,17,0.0064
1962,18,0.0176
1962,19,0.034
1962,20,0.0598
1962,21,0.0974
1962,22,0.1459
1962,23,0.2063
1962,24,0.2819
1962,25,0.3637
1962,26,0.4513
1962,27,0.5569
1962,28,0.6629
1962,29,0.7761
1962,30,0.8871
1962,31,0.9942
1962,32,1.0915
1962,33,1.1793
1962,34,1.2548
1962,35,1.3191
1962,36,1.3709
1962,37,1.4085
1962,38,1.4359
1962,39,1.459
1962,40,1.475
1962,41,1.4843
1962,42,1.4908
1962,43,1.4947
1962,44,1.4971
1962,45,1.4982
1962,46,1.499
1962,47,1.4994
1962,48,1.4995
1962,49,1.4996
1962,50,1.5
1963,16,0.0013
1963,17,0.0053
1963,18,0.0157
1963,19,0.0318
1963,20,0.0534
1963,21,0.0877
1963,22,0.1292
1963,23,0.183
1963,24,0.2456
1963,25,0.3181
1963,26,0.4081
1963,27,0.5037
1963,28,0.6099
1963,29,0.7237
1963,30,0.8406
1963,31,0.9487
1963,32,1.0536
1963,33,1.1451
1963,34,1.2167
1963,35,1.28
1963,36,1.3261
1963,37,1.3627
1963,38,1.3926
1963,39,1.4139
1963,40,1.429
1963,41,1.4384
1963,42,1.4441
1963,43,1.4478
1963,44,1.45
1963,45,1.4513
1963,46,1.4523
1963,47,1.4525
1963,48,1.4527
1963,49,1.4528
1963,50,1.453
1964,16,0.0013
1964,17,0.0052
1964,18,0.0145
1964,19,0.0278
1964,20,0.0489
1964,21,0.0763
1964,22,0.1134
1964,23,0.1559
1964,24,0.2074
1964,25,0.277
1964,26,0.3554
1964,27,0.4476
1964,28,0.5463
1964,29,0.6565
1964,30,0.7651
1964,31,0.8722
1964,32,0.9708
1964,33,1.0527
1964,34,1.1226
1964,35,1.1799
1964,36,1.2244
1964,37,1.2633
1964,38,1.2917
1964,39,1.3119
1964,40,1.326
1964,41,1.3357
1964,42,1.3424
1964,43,1.3466
1964,44,1.3491
1964,45,1.3508
1964,46,1.3513
1964,47,1.3516
1964,48,1.352
1964,49,1.3522
1964,50,1.3525
1965,16,0.0014
1965,17,0.0051
1965,18,0.0132
1965,19,0.0264
1965,20,0.044
1965,21,0.0682
1965,22,0.099
1965,23,0.1369
1965,24,0.1903
1965,25,0.2547
1965,26,0.3295
1965,27,0.4149
1965,28,0.516
1965,29,0.6201
1965,30,0.7251
1965,31,0.8218
1965,32,0.9075
1965,33,0.9854
1965,34,1.0479
1965,35,1.1007
1965,36,1.149
1965,37,1.1859
1965,38,1.2127
1965,39,1.2316
1965,40,1.2455
1965,41,1.2555
1965,42,1.2622
1965,43,1.2668
1965,44,1.27
1965,45,1.2716
1965,46,1.2726
1965,47,1.2732
1965,48,1.2735
1965,49,1.2737
1965,50,1.274
1966,16,0.0016
1966,17,0.0048
1966,18,0.0126
1966,19,0.0241
1966,20,0.0407
1966,21,0.0607
1966,22,0.0859
1966,23,0.1238
1966,24,0.1708
1966,25,0.2337
1966,26,0.3074
1966,27,0.397
1966,28,0.4909
1966,29,0.5931
1966,30,0.6924
1966,31,0.7839
1966,32,0.8692
1966,33,0.9401
1966,34,1.0038
1966,35,1.0637
1966,36,1.1095
1966,37,1.1456
1966,38,1.1719
1966,39,1.1913
1966,40,1.2069
1966,41,1.2197
1966,42,1.2279
1966,43,1.233
1966,44,1.2358
1966,45,1.2373
1966,46,1.2379
1966,47,1.2383
1966,48,1.2386
1966,49,1.2388
1966,50,1.239
1967,16,0.0011
1967,17,0.0041
1967,18,0.0104
1967,19,0.0216
1967,20,0.0355
1967,21,0.0544
1967,22,0.0796
1967,23,0.1169
1967,24,0.1641
1967,25,0.224
1967,26,0.3006
1967,27,0.3848
1967,28,0.4771
1967,29,0.5704
1967,30,0.6599
1967,31,0.7459
1967,32,0.821
1967,33,0.8881
1967,34,0.9555
1967,35,1.0117
1967,36,1.0563
1967,37,1.092
1967,38,1.1189
1967,39,1.1408
1967,40,1.1588
1967,41,1.1733
1967,42,1.1834
1967,43,1.1893
1967,44,1.1924
1967,45,1.1947
1967,46,1.1958
1967,47,1.1963
1967,48,1.1967
1967,49,1.1969
1967,50,1.1971
1968,16,0.0011
1968,17,0.0042
1968,18,0.0114
1968,19,0.0219
1968,20,0.0353
1968,21,0.0543
1968,22,0.0801
1968,23,0.1185
1968,24,0.1669
1968,25,0.2361
1968,26,0.3146
1968,27,0.4037
1968,28,0.4944
1968,29,0.5808
1968,30,0.6628
1968,31,0.7399
1968,32,0.8134
1968,33,0.8875
1968,34,0.9472
1968,35,1.0006
1968,36,1.0437
1968,37,1.08
1968,38,1.1105
1968,39,1.1369
1968,40,1.1589
1968,41,1.1754
1968,42,1.1855
1968,43,1.1908
1968,44,1.1938
1968,45,1.1964
1968,46,1.1978
1968,47,1.1985
1968,48,1.199
1968,49,1.1991
1968,50,1.1995
1969,16,0.0015
1969,17,0.0049
1969,18,0.0109
1969,19,0.0201
1969,20,0.0342
1969,21,0.0522
1969,22,0.0778
1969,23,0.1164
1969,24,0.174
1969,25,0.2485
1969,26,0.33
1969,27,0.4161
1969,28,0.4982
1969,29,0.5786
1969,30,0.6518
1969,31,0.7218
1969,32,0.7962
1969,33,0.8615
1969,34,0.9202
1969,35,0.9691
1969,36,1.0136
1969,37,1.0536
1969,38,1.0869
1969,39,1.1141
1969,40,1.1364
1969,41,1.1507
1969,42,1.1609
1969,43,1.1686
1969,44,1.1735
1969,45,1.1762
1969,46,1.1776
1969,47,1.1782
1969,48,1.1786
1969,49,1.1788
1969,50,1.1792
1970,16,0.0011
1970,17,0.0036
1970,18,0.0083
1970,19,0.0169
1970,20,0.0298
1970,21,0.0478
1970,22,0.0742
1970,23,0.1212
1970,24,0.1854
1970,25,0.2612
1970,26,0.3414
1970,27,0.4188
1970,28,0.4964
1970,29,0.5672
1970,30,0.6383
1970,31,0.713
1970,32,0.7775
1970,33,0.8397
1970,34,0.8932
1970,35,0.945
1970,36,0.9934
1970,37,1.0369
1970,38,1.0744
1970,39,1.1064
1970,40,1.1281
1970,41,1.1458
1970,42,1.1569
1970,43,1.1659
1970,44,1.1709
1970,45,1.1741
1970,46,1.1756
1970,47,1.1764
1970,48,1.1769
1970,49,1.1771
1970,50,1.1774
1971,16,0.0008
1971,17,0.0033
1971,18,0.0088
1971,19,0.0177
1971,20,0.0296
1971,21,0.047
1971,22,0.0756
1971,23,0.1278
1971,24,0.1911
1971,25,0.259
1971,26,0.3254
1971,27,0.3908
1971,28,0.4568
1971,29,0.5247
1971,30,0.5994
1971,31,0.6622
1971,32,0.7296
1971,33,0.7887
1971,34,0.8451
1971,35,0.8994
1971,36,0.9528
1971,37,1.0027
1971,38,1.0431
1971,39,1.073
1971,40,1.0977
1971,41,1.1167
1971,42,1.1309
1971,43,1.1397
1971,44,1.1445
1971,45,1.1472
1971,46,1.1488
1971,47,1.1496
1971,48,1.1502
1971,49,1.1504
1971,50,1.1507
1972,16,0.0011
1972,17,0.0038
1972,18,0.0089
1972,19,0.0173
1972,20,0.0294
1972,21,0.0494
1972,22,0.08
1972,23,0.1278
1972,24,0.1801
1972,25,0.2382
1972,26,0.2969
1972,27,0.3563
1972,28,0.4192
1972,29,0.4919
1972,30,0.5584
1972,31,0.629
1972,32,0.6957
1972,33,0.7615
1972,34,0.8276
1972,35,0.8947
1972,36,0.9582
1972,37,1.0171
1972,38,1.063
1972,39,1.0986
1972,40,1.1262
1972,41,1.1508
1972,42,1.166
1972,43,1.1759
1972,44,1.181
1972,45,1.1838
1972,46,1.1853
1972,47,1.1862
1972,48,1.1869
1972,49,1.1871
1972,50,1.1872
1973,16,0.0016
1973,17,0.0045
1973,18,0.0099
1973,19,0.0198
1973,20,0.0312
1973,21,0.0516
1973,22,0.0826
1973,23,0.1262
1973,24,0.1733
1973,25,0.222
1973,26,0.2744
1973,27,0.3303
1973,28,0.3945
1973,29,0.4556
1973,30,0.5203
1973,31,0.5827
1973,32,0.6504
1973,33,0.721
1973,34,0.7872
1973,35,0.8548
1973,36,0.9195
1973,37,0.9737
1973,38,1.0208
1973,39,1.0591
1973,40,1.0934
1973,41,1.1158
1973,42,1.1307
1973,43,1.1399
1973,44,1.1457
1973,45,1.1489
1973,46,1.1506
1973,47,1.1516
1973,48,1.152
1973,49,1.1521
1973,50,-
1974,16,0.0013
1974,17,0.0037
1974,18,0.0097
1974,19,0.0198
1974,20,0.0334
1974,21,0.0551
1974,22,0.0834
1974,23,0.1206
1974,24,0.1634
1974,25,0.21
1974,26,0.2604
1974,27,0.3192
1974,28,0.3779
1974,29,0.4428
1974,30,0.5083
1974,31,0.5742
1974,32,0.6487
1974,33,0.7242
1974,34,0.7995
1974,35,0.8734
1974,36,0.9403
1974,37,1.0031
1974,38,1.0536
1974,39,1.0983
1974,40,1.1296
1974,41,1.154
1974,42,1.1684
1974,43,1.1784
1974,44,1.1839
1974,45,1.1866
1974,46,1.1882
1974,47,1.1887
1974,48,1.1889
1974,49,-
1974,50,-
1975,16,0.0013
1975,17,0.0046
1975,18,0.0112
1975,19,0.0206
1975,20,0.0336
1975,21,0.0516
1975,22,0.0746
1975,23,0.107
1975,24,0.1447
1975,25,0.188
1975,26,0.2388
1975,27,0.2906
1975,28,0.3495
1975,29,0.4098
1975,30,0.4738
1975,31,0.5437
1975,32,0.6208
1975,33,0.6996
1975,34,0.7786
1975,35,0.8517
1975,36,0.9224
1975,37,0.9862
1975,38,1.041
1975,39,1.0798
1975,40,1.1117
1975,41,1.1353
1975,42,1.1511
1975,43,1.1606
1975,44,1.1659
1975,45,1.169
1975,46,1.1706
1975,47,1.1712
1975,48,-
1975,49,-
1975,50,-
1976,16,0.0014
1976,17,0.0047
1976,18,0.0107
1976,19,0.0204
1976,20,0.0318
1976,21,0.0489
1976,22,0.0721
1976,23,0.1045
1976,24,0.1447
1976,25,0.1891
1976,26,0.2345
1976,27,0.2874
1976,28,0.346
