Yr,G_B_HKR,Age_diff,Per_marri_age_diff,Median_age_diff
2017,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,57.7,-
2017,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,23.5,-
2017,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,7,-
2017,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,9.4,-
2017,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,2.3,-
2017,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,6
2017,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,18.8,-
2017,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,32,-
2017,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,11.7,-
2017,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,20.9,-
2017,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,16.5,-
2017,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,1
2018,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,56.1,-
2018,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,24.4,-
2018,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,6.6,-
2018,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,10.3,-
2018,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,2.6,-
2018,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,6
2018,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,18.5,-
2018,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,31.7,-
2018,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,11.5,-
2018,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,21,-
2018,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,17.2,-
2018,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,1
2019,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,53.7,-
2019,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,25.7,-
2019,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,7.4,-
2019,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,10.7,-
2019,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,2.5,-
2019,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,5
2019,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,18.5,-
2019,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,31.6,-
2019,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,11.5,-
2019,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,21.4,-
2019,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,17.1,-
2019,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,1
2020,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,52.9,-
2020,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,27,-
2020,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,6.9,-
2020,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,10.7,-
2020,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,2.5,-
2020,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,5
2020,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,19.4,-
2020,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,29.1,-
2020,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,12.4,-
2020,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,25.2,-
2020,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,14,-
2020,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,0
2021,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,46.3,-
2021,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,29.3,-
2021,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,8.9,-
2021,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,12.3,-
2021,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,3.1,-
2021,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,4
2021,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,21,-
2021,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,34.1,-
2021,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,14.2,-
2021,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,23.2,-
2021,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,7.4,-
2021,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,1
