Yr,Pre_martial_s,Age_gp,Marriage_rate
2016,Divorced women / widows,20 – 24,53.3
2016,Divorced women / widows,25 – 29,93.9
2016,Divorced women / widows,30 – 34,67.9
2016,Divorced women / widows,35 – 44,49.5
2016,Divorced women / widows,45+,5
2016,Divorced women / widows,Total,12
2021,Divorced women / widows,16 – 19,§
2021,Divorced women / widows,20 – 24,11.7
2021,Divorced women / widows,25 – 29,41.9
2021,Divorced women / widows,30 – 34,36.3
2021,Divorced women / widows,35 – 44,19.4
2021,Divorced women / widows,45+,3.1
2021,Divorced women / widows,Total,5.9
1991,All males,16 – 19,1.9
1991,All males,20 – 24,25
1991,All males,25 – 29,81.3
1991,All males,30 – 34,104.7
1991,All males,35 – 44,71.4
1991,All males,45+,15
1991,All males,Total,46
1996,All males,16 – 19,1.6
1996,All males,20 – 24,17.7
1996,All males,25 – 29,62.5
1996,All males,30 – 34,81.3
1996,All males,35 – 44,60.6
1996,All males,45+,13.4
1996,All males,Total,35.7
2001,All males,16 – 19,1
2001,All males,20 – 24,13.3
2001,All males,25 – 29,52.9
2001,All males,30 – 34,68.9
2001,All males,35 – 44,51.5
2001,All males,45+,18
2001,All males,Total,30.8
2006,All males,16 – 19,1
2006,All males,20 – 24,14.2
2006,All males,25 – 29,57.1
2006,All males,30 – 34,100
2006,All males,35 – 44,71.8
2006,All males,45+,40.3
2006,All males,Total,42.6
2011,All males,16 – 19,0.8
2011,All males,20 – 24,12.4
2011,All males,25 – 29,61.5
2011,All males,30 – 34,121.2
2011,All males,35 – 44,85.2
2011,All males,45+,36
2011,All males,Total,45.6
2016,All males,16 – 19,0.7
2016,All males,20 – 24,10.3
2016,All males,25 – 29,50.7
2016,All males,30 – 34,100
2016,All males,35 – 44,71.5
2016,All males,45+,25.7
2016,All males,Total,37.2
2021,All males,16 – 19,0.2
2021,All males,20 – 24,4.3
2021,All males,25 – 29,30.1
2021,All males,30 – 34,61.5
2021,All males,35 – 44,41
2021,All males,45+,10.1
2021,All males,Total,22.3
1991,All females,16 – 19,10.3
1991,All females,20 – 24,66.9
1991,All females,25 – 29,119.3
1991,All females,30 – 34,88.5
1991,All females,35 – 44,43.7
1991,All females,45+,2.5
1991,All females,Total,46.4
1996,All females,16 – 19,5.4
1996,All females,20 – 24,36.1
1996,All females,25 – 29,83.2
1996,All females,30 – 34,61.8
1996,All females,35 – 44,25.7
1996,All females,45+,1.8
1996,All females,Total,29.5
2001,All females,16 – 19,3.6
2001,All females,20 – 24,21.7
2001,All females,25 – 29,63.1
2001,All females,30 – 34,49.6
2001,All females,35 – 44,17.9
2001,All females,45+,1.7
2001,All females,Total,21.2
2006,All females,16 – 19,2.5
2006,All females,20 – 24,16.6
2006,All females,25 – 29,59.4
2006,All females,30 – 34,71
2006,All females,35 – 44,22.3
2006,All females,45+,3.1
2006,All females,Total,22
2011,All females,16 – 19,2.1
2011,All females,20 – 24,15.6
2011,All females,25 – 29,62.8
2011,All females,30 – 34,81
2011,All females,35 – 44,33.4
2011,All females,45+,3.4
2011,All females,Total,24.6
2016,All females,16 – 19,2.1
2016,All females,20 – 24,13.7
2016,All females,25 – 29,56.5
2016,All females,30 – 34,69
2016,All females,35 – 44,33.8
2016,All females,45+,4.6
2016,All females,Total,21.9
2021,All females,16 – 19,0.6
2021,All females,20 – 24,7.5
2021,All females,25 – 29,41.4
2021,All females,30 – 34,56.9
2021,All females,35 – 44,20.2
2021,All females,45+,3
2021,All females,Total,15.2
