Yr,Dur_marr_mo,No_live_births,Per_live_births
1999, 15 - 19,599,1.3
1999, >=20,44,0.1
1999,Total,47504,100
2000,<1,6956,14.2
2000,1,5863,12
2000,2,4935,10.1
2000,3,5485,11.2
2000,4,4811,9.8
2000,5,4320,8.8
2000,6,4022,8.2
2000,7,3229,6.6
2000,8,2426,5
2000,9,1982,4.1
2000, 10 - 14,4118,8.4
2000, 15 - 19,643,1.3
2000, >=20,58,0.1
2000,Total,48848,100
2001,<1,6822,15.5
2001,1,5285,12
2001,2,4599,10.4
2001,3,4076,9.2
2001,4,4291,9.7
2001,5,4007,9.1
2001,6,3487,7.9
2001,7,2781,6.3
2001,8,2325,5.3
2001,9,1759,4
2001, 10 - 14,4063,9.2
2001, 15 - 19,576,1.3
2001, >=20,51,0.1
2001,Total,44122,100
2002,<1,7029,15.8
2002,1,5537,12.4
2002,2,4764,10.7
2002,3,4140,9.3
2002,4,3643,8.2
2002,5,4118,9.2
2002,6,3809,8.5
2002,7,2817,6.3
2002,8,2226,5
2002,9,1946,4.4
2002, 10 - 14,3896,8.7
2002, 15 - 19,568,1.3
2002, >=20,69,0.2
2002,Total,44562,100
2003,<1,7122,16.5
2003,1,5557,12.8
2003,2,4602,10.6
2003,3,4075,9.4
2003,4,3525,8.1
2003,5,3198,7.4
2003,6,3736,8.6
2003,7,2913,6.7
2003,8,2173,5
2003,9,1806,4.2
2003, 10 - 14,3954,9.1
2003, 15 - 19,544,1.3
2003, >=20,50,0.1
2003,Total,43255,100
2004,<1,8496,18.7
2004,1,5798,12.8
2004,2,4885,10.8
2004,3,4157,9.2
2004,4,3530,7.8
2004,5,3408,7.5
2004,6,3216,7.1
2004,7,2953,6.5
2004,8,2530,5.6
2004,9,1942,4.3
2004, 10 - 14,3890,8.6
2004, 15 - 19,474,1
2004, >=20,45,0.1
2004,Total,45324,100
2005,<1,9639,18.7
2005,1,6955,13.5
2005,2,5309,10.3
2005,3,4647,9
2005,4,4188,8.1
2005,5,3750,7.3
2005,6,3554,6.9
2005,7,2978,5.8
2005,8,2958,5.7
2005,9,2352,4.6
2005, 10 - 14,4624,9
2005, 15 - 19,601,1.2
2005, >=20,61,0.1
2005,Total,51616,100
2006,<1,10411,17.7
2006,1,8010,13.6
2006,2,6462,11
2006,3,4847,8.3
2006,4,4451,7.6
2006,5,4214,7.2
2006,6,4194,7.1
2006,7,3612,6.2
2006,8,2888,4.9
2006,9,2665,4.5
2006, 10 - 14,6037,10.3
2006, 15 - 19,848,1.4
2006, >=20,65,0.1
2006,Total,58704,100
2007,<1,10828,17.2
2007,1,7651,12.1
2007,2,6800,10.8
2007,3,5865,9.3
2007,4,4639,7.4
2007,5,4508,7.2
2007,6,4434,7
2007,7,3912,6.2
2007,8,3286,5.2
2007,9,2709,4.3
2007, 10 - 14,7226,11.5
2007, 15 - 19,1078,1.7
2007, >=20,74,0.1
2007,Total,63010,100
2008,<1,11295,16.7
2008,1,9019,13.3
2008,2,6659,9.8
2008,3,6418,9.5
2008,4,5342,7.9
2008,5,4614,6.8
2008,6,4645,6.9
2008,7,3871,5.7
2008,8,3327,4.9
2008,9,2785,4.1
2008, 10 - 14,8346,12.3
2008, 15 - 19,1340,2
2008, >=20,97,0.1
2008,Total,67758,100
2009,<1,11504,16.2
2009,1,8632,12.2
2009,2,8037,11.3
2009,3,5994,8.5
2009,4,5683,8
2009,5,5516,7.8
2009,6,4489,6.3
2009,7,4014,5.7
2009,8,3278,4.6
2009,9,2928,4.1
2009, 10 - 14,8923,12.6
2009, 15 - 19,1731,2.4
2009, >=20,99,0.1
2009,Total,70828,100
2010,<1,12642,16.7
2010,1,9208,12.2
2010,2,8148,10.8
2010,3,7384,9.8
2010,4,5839,7.7
2010,5,5831,7.7
2010,6,5120,6.8
2010,7,3772,5
2010,8,3482,4.6
2010,9,2869,3.8
2010, 10 - 14,9247,12.2
2010, 15 - 19,2013,2.7
2010, >=20,153,0.2
2010,Total,75708,100
2011,<1,12656,15.7
2011,1,10436,13
2011,2,8714,10.8
2011,3,7459,9.3
2011,4,7172,8.9
2011,5,6074,7.5
2011,6,5537,6.9
2011,7,4518,5.6
2011,8,3385,4.2
2011,9,3005,3.7
2011, 10 - 14,9148,11.4
2011, 15 - 19,2232,2.8
2011, >=20,172,0.2
2011,Total,80508,100
2012,<1,12874,16.1
2012,1,10377,13
2012,2,9459,11.9
2012,3,7828,9.8
2012,4,6980,8.8
2012,5,7007,8.8
2012,6,5016,6.3
2012,7,4378,5.5
2012,8,3547,4.4
2012,9,2583,3.2
2012, 10 - 14,7530,9.4
2012, 15 - 19,2007,2.5
2012, >=20,165,0.2
2012,Total,79751,100
2013,<1,9565,18.2
2013,1,8256,15.8
2013,2,6496,12.4
2013,3,5667,10.8
2013,4,4561,8.7
2013,5,4207,8
2013,6,3466,6.6
2013,7,2304,4.4
2013,8,1991,3.8
2013,9,1441,2.7
2013, 10 - 14,3509,6.7
2013, 15 - 19,866,1.7
2013, >=20,88,0.2
2013,Total,52417,100
2014,<1,9738,17
2014,1,8932,15.6
2014,2,8137,14.2
2014,3,6199,10.8
2014,4,5580,9.8
2014,5,4608,8.1
2014,6,3641,6.4
2014,7,2942,5.1
2014,8,1854,3.2
2014,9,1435,2.5
2014, 10 - 14,3224,5.6
2014, 15 - 19,811,1.4
2014, >=20,79,0.1
2014,Total,57180,100
2015,<1,9538,17.2
2015,1,7707,13.9
2015,2,7722,14
2015,3,6780,12.3
2015,4,5319,9.6
2015,5,4776,8.6
2015,6,3565,6.4
2015,7,2633,4.8
2015,8,1969,3.6
2015,9,1325,2.4
2015, 10 - 14,3120,5.6
2015, 15 - 19,766,1.4
2015, >=20,86,0.2
2015,Total,55306,100
2016,<1,9050,16.2
2016,1,7993,14.3
2016,2,7130,12.8
2016,3,6864,12.3
2016,4,6161,11
2016,5,4941,8.9
2016,6,3748,6.7
2016,7,2646,4.7
2016,8,1959,3.5
2016,9,1520,2.7
2016, 10 - 14,2967,5.3
2016, 15 - 19,692,1.2
2016, >=20,89,0.2
2016,Total,55760,100
2017,<1,8503,16.4
2017,1,6918,13.4
2017,2,6692,12.9
2017,3,5656,10.9
2017,4,5663,10.9
2017,5,5111,9.9
2017,6,3575,6.9
2017,7,2804,5.4
2017,8,1845,3.6
2017,9,1377,2.7
2017, 10 - 14,2897,5.6
2017, 15 - 19,617,1.2
2017, >=20,85,0.2
2017,Total,51743,100
2018,<1,7790,15.8
2018,1,6726,13.7
2018,2,6268,12.7
2018,3,5644,11.5
2018,4,4867,9.9
2018,5,4942,10.1
2018,6,3799,7.7
2018,7,2458,5
2018,8,1861,3.8
2018,9,1289,2.6
2018, 10 - 14,2902,5.9
2018, 15 - 19,552,1.1
2018, >=20,67,0.1
2018,Total,49165,100
2019,<1,7271,15.1
2019,1,6866,14.2
2019,2,6122,12.7
2019,3,5504,11.4
2019,4,5253,10.9
2019,5,4242,8.8
2019,6,3730,7.7
2019,7,2833,5.9
2019,8,1810,3.8
2019,9,1329,2.8
2019, 10 - 14,2681,5.6
2019, 15 - 19,481,1
2019, >=20,82,0.2
2019,Total,48204,100
2020,<1,5140,13.3
2020,1,5224,13.5
2020,2,5230,13.5
2020,3,4533,11.7
2020,4,3998,10.3
2020,5,3803,9.8
2020,6,2754,7.1
2020,7,2368,6.1
2020,8,1780,4.6
2020,9,1178,3
2020, 10 - 14,2273,5.9
2020, 15 - 19,375,1
2020, >=20,56,0.1
2020,Total,38712,100
2021,<1,4249,12.8
2021,1,3582,10.8
2021,2,4371,13.2
2021,3,4348,13.1
2021,4,3597,10.8
2021,5,3234,9.7
2021,6,2628,7.9
2021,7,2041,6.1
2021,8,1613,4.9
2021,9,1167,3.5
2021, 10 - 14,2035,6.1
2021, 15 - 19,300,0.9
2021, >=20,46,0.1
2021,Total,33211,100
