Yr,Pre_martial_s,Med_age
2007,Bridegrooms: Divorced men,44.9
2007,Bridegrooms: Others,72.2
2007,All bridegrooms ,33.2
2007,Brides: Spinsters,28.3
2007,Brides: Widow,43.3
2007,Brides: Divorced women,36.9
2007,Brides: Others,66.2
2007,All brides,29.4
2008,Bridegrooms: Bachelors,31.1
2008,Bridegrooms: Widowers,59.2
2008,Bridegrooms: Divorced men,45.2
2008,Bridegrooms: Others,75.2
2008,All bridegrooms ,33
2008,Brides: Spinsters,28.4
2008,Brides: Widow,43.7
2008,Brides: Divorced women,37
2008,Brides: Others,70.3
2008,All brides,29.4
2009,Bridegrooms: Bachelors,31
2009,Bridegrooms: Widowers,59.1
2009,Bridegrooms: Divorced men,45.7
2009,Bridegrooms: Others,75.9
2009,All bridegrooms ,33
2009,Brides: Spinsters,28.5
2009,Brides: Widow,43.8
2009,Brides: Divorced women,37.6
2009,Brides: Others,71.1
2009,All brides,29.5
2010,Bridegrooms: Bachelors,31.2
2010,Bridegrooms: Widowers,58.4
2010,Bridegrooms: Divorced men,45.9
2010,Bridegrooms: Others,76
2010,All bridegrooms ,33.2
2010,Brides: Spinsters,28.7
2010,Brides: Widow,43.5
2010,Brides: Divorced women,37.8
2010,Brides: Others,71.3
2010,All brides,29.8
2011,Bridegrooms: Bachelors,31.2
2011,Bridegrooms: Widowers,58.4
2011,Bridegrooms: Divorced men,45.8
2011,Bridegrooms: Others,74.6
2011,All bridegrooms ,33.1
2011,Brides: Spinsters,28.9
2011,Brides: Widow,44.9
2011,Brides: Divorced women,38.1
2011,Brides: Others,70
2011,All brides,29.9
2012,Bridegrooms: Bachelors,31.1
2012,Bridegrooms: Widowers,60.2
2012,Bridegrooms: Divorced men,45.9
2012,Bridegrooms: Others,76.8
2012,All bridegrooms ,33
2012,Brides: Spinsters,29
2012,Brides: Widow,46.3
2012,Brides: Divorced women,38.3
2012,Brides: Others,73.3
2012,All brides,30
2013,Bridegrooms: Bachelors,31.2
2013,Bridegrooms: Widowers,58.7
2013,Bridegrooms: Divorced men,46.1
2013,Bridegrooms: Others,76.4
2013,All bridegrooms ,33.5
2013,Brides: Spinsters,29.1
2013,Brides: Widow,46.5
2013,Brides: Divorced women,39.1
2013,Brides: Others,72.3
2013,All brides,30.4
2014,Bridegrooms: Bachelors,31.2
2014,Bridegrooms: Widowers,59.4
2014,Bridegrooms: Divorced men,46.3
2014,Bridegrooms: Others,78.5
2014,All bridegrooms ,33.3
2014,Brides: Spinsters,29.1
2014,Brides: Widow,47.2
2014,Brides: Divorced women,39.4
2014,Brides: Others,72.5
2014,All brides,30.4
2015,Bridegrooms: Bachelors,31.2
2015,Bridegrooms: Widowers,59.9
2015,Bridegrooms: Divorced men,46.7
2015,Bridegrooms: Others,78
2015,All bridegrooms ,33.3
2015,Brides: Spinsters,29.3
2015,Brides: Widow,46.9
2015,Brides: Divorced women,39.9
2015,Brides: Others,74
2015,All brides,30.6
2016,Bridegrooms: Bachelors,31.4
2016,Bridegrooms: Widowers,59.1
2016,Bridegrooms: Divorced men,47
2016,Bridegrooms: Others,78.3
2016,All bridegrooms ,33.6
2016,Brides: Spinsters,29.4
2016,Brides: Widow,48.4
2016,Brides: Divorced women,40.5
2016,Brides: Others,72.3
2016,All brides,30.9
2017,Bridegrooms: Bachelors,31.4
2017,Bridegrooms: Widowers,60.2
2017,Bridegrooms: Divorced men,47.1
2017,Bridegrooms: Others,77.3
2017,All bridegrooms ,33.5
2017,Brides: Spinsters,29.6
2017,Brides: Widow,48.7
2017,Brides: Divorced women,41.2
2017,Brides: Others,70.3
2017,All brides,31
2018,Bridegrooms: Bachelors,31.5
2018,Bridegrooms: Widowers,61.1
2018,Bridegrooms: Divorced men,47.7
2018,Bridegrooms: Others,83.5
2018,All bridegrooms ,33.7
2018,Brides: Spinsters,29.7
2018,Brides: Widow,49
2018,Brides: Divorced women,41.5
2018,Brides: Others,75
2018,All brides,31.2
2019,Bridegrooms: Bachelors,31.6
2019,Bridegrooms: Widowers,61.6
2019,Bridegrooms: Divorced men,47.9
2019,Bridegrooms: Others,82.8
2019,All bridegrooms ,33.9
2019,Brides: Spinsters,29.9
2019,Brides: Widow,50
2019,Brides: Divorced women,42
2019,Brides: Others,77.3
2019,All brides,31.5
2020,Bridegrooms: Bachelors,31.9
2020,Bridegrooms: Widowers,60.3
2020,Bridegrooms: Divorced men,47.4
2020,Bridegrooms: Others,83
2020,All bridegrooms ,33.1
2020,Brides: Spinsters,30.4
2020,Brides: Widow,49.8
2020,Brides: Divorced women,42.1
2020,Brides: Others,76
2020,All brides,31.2
2021,Bridegrooms: Bachelors,32.2
2021,Bridegrooms: Widowers,59.8
2021,Bridegrooms: Divorced men,47.3
2021,Bridegrooms: Others,88.5
2021,All bridegrooms ,33.4
2021,Brides: Spinsters,30.6
2021,Brides: Widow,49.6
2021,Brides: Divorced women,43
2021,Brides: Others,81.5
2021,All brides,31.5
