Yr_of_birth,Age,Fert_rates
1947,48,§
1947,49,0.2
1948,15,4.1
1948,16,9.1
1948,17,28
1948,18,41.9
1948,19,68.7
1948,20,96.4
1948,21,123.2
1948,22,148.6
1948,23,201.4
1948,24,227.5
1948,25,231.9
1948,26,228.5
1948,27,200.5
1948,28,191.8
1948,29,165
1948,30,151.4
1948,31,116.9
1948,32,102.7
1948,33,75
1948,34,60.9
1948,35,44
1948,36,32.5
1948,37,25.3
1948,38,16.8
1948,39,12.1
1948,40,9.3
1948,41,6
1948,42,3.4
1948,43,2.3
1948,44,1
1948,45,0.5
1948,46,0.2
1948,47,0.2
1948,48,0.1
1948,49,0.5
1949,15,1.5
1949,16,7.9
1949,17,18.2
1949,18,39.8
1949,19,63.2
1949,20,90.2
1949,21,108.7
1949,22,136.8
1949,23,185.3
1949,24,206.1
1949,25,206.5
1949,26,201.8
1949,27,188.1
1949,28,184.4
1949,29,167
1949,30,148.1
1949,31,108.7
1949,32,95.9
1949,33,70.2
1949,34,57.7
1949,35,43.2
1949,36,33.3
1949,37,25.2
1949,38,17
1949,39,13.1
1949,40,9
1949,41,5.2
1949,42,3.6
1949,43,1.6
1949,44,0.9
1949,45,0.5
1949,46,0.3
1949,47,0.1
1949,48,§
1949,49,0.3
1950,15,1.4
1950,16,8.6
1950,17,15.8
1950,18,32.7
1950,19,59.9
1950,20,76.6
1950,21,109.3
1950,22,133.3
1950,23,172.2
1950,24,199.9
1950,25,198.6
1950,26,207.2
1950,27,196.5
1950,28,193
1950,29,160.7
1950,30,143.3
1950,31,108.2
1950,32,99.3
1950,33,70.6
1950,34,55.4
1950,35,42.9
1950,36,32.8
1950,37,24.8
1950,38,20.6
1950,39,13.1
1950,40,8.8
1950,41,5.6
1950,42,3.6
1950,43,2
1950,44,1.1
1950,45,0.5
1950,46,0.2
1950,47,0.1
1950,48,0.1
1950,49,0.1
1951,15,2.9
1951,16,6.6
1951,17,13.7
1951,18,28.8
1951,19,42.4
1951,20,71.8
1951,21,103.1
1951,22,130.4
1951,23,169.2
1951,24,182.1
1951,25,183.6
1951,26,191.2
1951,27,182.3
1951,28,178.7
1951,29,151.8
1951,30,134.7
1951,31,108.5
1951,32,84.6
1951,33,66.5
1951,34,53.6
1951,35,42.1
1951,36,33
1951,37,27.2
1951,38,19.8
1951,39,12.4
1951,40,9
1951,41,6.7
1951,42,3.7
1951,43,2
1951,44,0.9
1951,45,0.4
1951,46,0.2
1951,47,§
1951,48,0.1
1951,49,0.1
1952,15,2.1
1952,16,6.1
1952,17,15.9
1952,18,28.4
1952,19,42.9
1952,20,73.4
1952,21,95.2
1952,22,132.9
1952,23,145.5
1952,24,166.4
1952,25,175.9
1952,26,173.5
1952,27,163.2
1952,28,167.2
1952,29,143.7
1952,30,125.8
1952,31,103.7
1952,32,81.9
1952,33,66.4
1952,34,52.3
1952,35,43.5
1952,36,36.2
1952,37,26.2
1952,38,18.9
1952,39,14.6
1952,40,9.1
1952,41,6.2
1952,42,3.5
1952,43,1.9
1952,44,1.1
1952,45,0.6
1952,46,0.3
1952,47,0.2
1952,48,0.1
1952,49,0.1
1953,15,1.6
1953,16,5.2
1953,17,14.6
1953,18,27
1953,19,44.1
1953,20,72.9
1953,21,100
1953,22,120.4
1953,23,134.7
1953,24,156.1
1953,25,164
1953,26,163.7
1953,27,160.4
1953,28,153.8
1953,29,137.9
1953,30,112.7
1953,31,93.3
1953,32,77.2
1953,33,62.9
1953,34,53.4
1953,35,46.4
1953,36,35.8
1953,37,25.6
1953,38,19.8
1953,39,13.4
1953,40,10
1953,41,5.6
1953,42,3.2
1953,43,2.2
1953,44,0.9
1953,45,0.6
1953,46,0.2
1953,47,0.1
1953,48,0.1
1953,49,0.1
1954,15,2.9
1954,16,5.3
1954,17,13.9
1954,18,28
1954,19,45.1
1954,20,74
1954,21,95
1954,22,105.4
1954,23,130.2
1954,24,150.4
1954,25,155.2
1954,26,167.1
1954,27,159.6
1954,28,154.3
1954,29,130.7
1954,30,110.4
1954,31,95.1
1954,32,76.2
1954,33,68.3
1954,34,60.7
1954,35,47.6
1954,36,36.2
1954,37,27.8
1954,38,21.1
1954,39,15.3
1954,40,9.4
1954,41,6.6
1954,42,3.7
1954,43,2.4
1954,44,1
1954,45,0.7
1954,46,0.4
1954,47,0.1
1954,48,0.1
1954,49,0.1
1955,15,1.2
1955,16,3.8
1955,17,14.4
1955,18,28.3
1955,19,45.3
1955,20,69.6
1955,21,84.9
1955,22,100.9
1955,23,121
1955,24,137.4
1955,25,152.4
1955,26,160.6
1955,27,158.3
1955,28,143.3
1955,29,123.1
1955,30,106.9
1955,31,90.5
1955,32,79.3
1955,33,74.1
1955,34,58.7
1955,35,45.1
1955,36,38.4
1955,37,28
1955,38,20.9
1955,39,14.7
1955,40,10.5
1955,41,6.9
1955,42,4.7
1955,43,2.3
1955,44,1
1955,45,0.5
1955,46,0.2
1955,47,0.3
1955,48,§
1955,49,0.2
1956,15,1.7
1956,16,4
1956,17,14.7
1956,18,29.8
1956,19,42.5
1956,20,60.6
1956,21,82.3
1956,22,94.3
1956,23,112.5
1956,24,138.1
1956,25,147.1
1956,26,154.1
1956,27,144.9
1956,28,132.1
1956,29,118
1956,30,104.1
1956,31,90.4
1956,32,87.4
1956,33,69.4
1956,34,56.4
1956,35,47.5
1956,36,37.6
1956,37,28
1956,38,21.9
1956,39,15.4
1956,40,10
1956,41,6.8
1956,42,3.7
1956,43,2
1956,44,1.3
1956,45,0.4
1956,46,0.2
1956,47,0.1
1956,48,0.1
1956,49,0.2
1957,15,1.6
1957,16,4.2
1957,17,14.6
1957,18,29.5
1957,19,39.4
1957,20,60.1
1957,21,76.4
1957,22,89.1
1957,23,111
1957,24,132.7
1957,25,142.1
1957,26,143.8
1957,27,135.6
1957,28,129.1
1957,29,111.6
1957,30,101.7
1957,31,101.1
1957,32,82.8
1957,33,67.7
1957,34,57.5
1957,35,50.1
1957,36,37.4
1957,37,30.8
1957,38,20.6
1957,39,15.3
1957,40,11
1957,41,6.4
1957,42,4.1
1957,43,2.1
1957,44,1.2
1957,45,0.5
1957,46,0.1
1957,47,0.1
1957,48,0.1
1957,49,0.1
1958,15,1.9
1958,16,5.8
1958,17,13.3
1958,18,26.3
1958,19,39.1
1958,20,56.5
1958,21,68.8
1958,22,87.3
1958,23,109.6
1958,24,130.6
1958,25,136.7
1958,26,126.5
1958,27,131
1958,28,120.9
1958,29,113.3
1958,30,113.1
1958,31,95.3
1958,32,82.3
1958,33,72
1958,34,64
1958,35,50
1958,36,38.5
1958,37,30.4
1958,38,21.8
1958,39,16
1958,40,9.3
1958,41,5.8
1958,42,3.9
1958,43,2.2
1958,44,1.3
1958,45,0.6
1958,46,0.3
1958,47,0.1
1958,48,0.1
1958,49,0.2
1959,15,1.6
1959,16,5.1
1959,17,16.1
1959,18,25.3
1959,19,33
1959,20,46.9
1959,21,66.5
1959,22,83.6
1959,23,99.5
1959,24,117.4
1959,25,117.7
1959,26,119.1
1959,27,116.7
1959,28,113.1
1959,29,119.9
1959,30,100.7
1959,31,90.3
1959,32,82.3
1959,33,72.3
1959,34,61.7
1959,35,49.5
1959,36,40
1959,37,29.5
1959,38,22
1959,39,15
1959,40,9.5
1959,41,5.9
1959,42,3.6
1959,43,2.1
1959,44,1
1959,45,0.5
1959,46,0.3
1959,47,0.2
1959,48,0.1
1959,49,0.1
1960,15,1.2
1960,16,5.1
1960,17,16.2
1960,18,24.5
1960,19,28.1
1960,20,44.9
1960,21,64.9
1960,22,78.4
1960,23,100
1960,24,103.7
1960,25,111.5
1960,26,110.9
1960,27,113.4
1960,28,124.3
1960,29,106.6
1960,30,100.2
1960,31,92.2
1960,32,84.5
1960,33,69.5
1960,34,60.5
1960,35,50
1960,36,40
1960,37,30.1
1960,38,20.1
1960,39,13.6
1960,40,9.6
1960,41,6
1960,42,3.5
1960,43,2
1960,44,0.9
1960,45,0.6
1960,46,0.3
1960,47,0.2
1960,48,0.2
1960,49,0.6
1961,15,1.9
1961,16,5.9
1961,17,13.7
1961,18,18.5
1961,19,28.4
1961,20,42.8
1961,21,56.4
1961,22,76.7
1961,23,82.6
1961,24,96.4
1961,25,99.6
1961,26,102.9
1961,27,119.1
1961,28,113.1
1961,29,107.2
1961,30,100
1961,31,95.9
1961,32,83.2
1961,33,73.7
1961,34,62.3
1961,35,50.6
1961,36,40.7
1961,37,28.7
1961,38,21.2
1961,39,15.4
1961,40,9.8
1961,41,5.5
1961,42,3.2
1961,43,2.1
1961,44,1.1
1961,45,0.8
1961,46,0.4
1961,47,0.3
1961,48,0.2
1961,49,0.1
1962,15,1.8
1962,16,4.6
1962,17,11.2
1962,18,16.5
1962,19,25.8
1962,20,37.6
1962,21,48.5
1962,22,60.4
1962,23,75.6
1962,24,81.7
1962,25,87.7
1962,26,105.6
1962,27,106
1962,28,113.2
1962,29,111
1962,30,107.1
1962,31,97.3
1962,32,87.8
1962,33,75.5
1962,34,64.4
1962,35,51.8
1962,36,37.6
1962,37,27.4
1962,38,23.1
1962,39,16
1962,40,9.3
1962,41,6.5
1962,42,3.9
1962,43,2.4
1962,44,1.1
1962,45,0.7
1962,46,0.4
1962,47,0.1
1962,48,0.1
1962,49,0.4
1963,15,1.3
1963,16,4
1963,17,10.4
1963,18,16.1
1963,19,21.6
1963,20,34.2
1963,21,41.5
1963,22,53.8
1963,23,62.7
1963,24,72.4
1963,25,90.1
1963,26,95.6
1963,27,106.2
1963,28,113.8
1963,29,116.8
1963,30,108.1
1963,31,104.9
1963,32,91.5
1963,33,71.6
1963,34,63.3
1963,35,46.1
1963,36,36.6
1963,37,29.8
1963,38,21.3
1963,39,15.1
1963,40,9.4
1963,41,5.7
1963,42,3.8
1963,43,2.1
1963,44,1.3
1963,45,1
1963,46,0.3
1963,47,0.1
1963,48,0.1
1963,49,0.2
1964,15,1.3
1964,16,3.9
1964,17,9.3
1964,18,13.3
1964,19,21.1
1964,20,27.5
1964,21,37
1964,22,42.6
1964,23,51.4
1964,24,69.7
1964,25,78.4
1964,26,92.1
1964,27,98.7
1964,28,110.2
1964,29,108.6
1964,30,107.2
1964,31,98.6
1964,32,81.9
1964,33,69.9
1964,34,57.3
1964,35,44.5
1964,36,38.9
1964,37,28.4
1964,38,20.2
1964,39,14.1
1964,40,9.7
1964,41,6.7
1964,42,4.1
1964,43,2.6
1964,44,1.6
1964,45,0.5
1964,46,0.3
1964,47,0.4
1964,48,0.2
1964,49,0.3
1965,15,1.4
1965,16,3.7
1965,17,8.2
1965,18,13.1
1965,19,17.6
1965,20,24.3
1965,21,30.8
1965,22,37.9
1965,23,53.4
1965,24,64.4
1965,25,74.8
1965,26,85.4
1965,27,101.1
1965,28,104.2
1965,29,105
1965,30,96.7
1965,31,85.7
1965,32,77.9
1965,33,62.4
1965,34,52.8
1965,35,48.3
1965,36,36.9
1965,37,26.8
1965,38,18.9
1965,39,13.9
1965,40,10
1965,41,6.7
1965,42,4.6
1965,43,3.2
1965,44,1.6
1965,45,1
1965,46,0.6
1965,47,0.3
1965,48,0.2
1965,49,0.3
1966,15,1.6
1966,16,3.2
1966,17,7.8
1966,18,11.4
1966,19,16.7
1966,20,20
1966,21,25.2
1966,22,37.9
1966,23,47.1
1966,24,62.8
1966,25,73.8
1966,26,89.6
1966,27,94
1966,28,102.1
1966,29,99.4
1966,30,91.5
1966,31,85.3
1966,32,70.9
1966,33,63.7
1966,34,59.9
1966,35,45.9
1966,36,36.1
1966,37,26.3
1966,38,19.4
1966,39,15.6
1966,40,12.8
1966,41,8.2
1966,42,5.1
1966,43,2.8
1966,44,1.5
1966,45,0.6
1966,46,0.4
1966,47,0.3
1966,48,0.1
1966,49,0.3
1967,15,1.1
1967,16,3.1
1967,17,6.2
1967,18,11.2
1967,19,13.9
1967,20,18.9
1967,21,25.2
1967,22,37.3
1967,23,47.2
1967,24,59.9
1967,25,76.6
1967,26,84.1
1967,27,92.3
1967,28,93.3
1967,29,89.5
1967,30,86
1967,31,75.1
1967,32,67.1
1967,33,67.3
1967,34,56.3
1967,35,44.6
1967,36,35.7
1967,37,26.9
1967,38,21.9
1967,39,17.9
1967,40,14.6
1967,41,10.1
1967,42,5.8
1967,43,3.1
1967,44,2.3
1967,45,1.1
1967,46,0.5
1967,47,0.3
1967,48,0.2
1967,49,0.2
1968,15,1.1
1968,16,3.1
1968,17,7.2
1968,18,10.4
1968,19,13.5
1968,20,19
1968,21,25.8
1968,22,38.4
1968,23,48.4
1968,24,69.1
1968,25,78.6
1968,26,89.1
1968,27,90.7
1968,28,86.4
1968,29,82
1968,30,77.1
1968,31,73.5
1968,32,74.1
1968,33,59.7
1968,34,53.4
1968,35,43.1
1968,36,36.3
1968,37,30.5
1968,38,26.4
1968,39,22
1968,40,16.5
1968,41,10.1
1968,42,5.3
1968,43,3
1968,44,2.5
1968,45,1.4
1968,46,0.7
1968,47,0.5
1968,48,0.2
1968,49,0.4
1969,15,1.5
1969,16,3.5
1969,17,6
1969,18,9.2
1969,19,14.1
1969,20,18
1969,21,25.5
1969,22,38.6
1969,23,57.7
1969,24,74.5
1969,25,81.5
1969,26,86.1
1969,27,82.1
1969,28,80.4
1969,29,73.1
1969,30,70
1969,31,74.4
1969,32,65.2
1969,33,58.7
1969,34,48.9
1969,35,44.4
1969,36,40
1969,37,33.3
1969,38,27.2
1969,39,22.3
1969,40,14.4
1969,41,10.2
1969,42,7.7
1969,43,4.8
1969,44,2.7
1969,45,1.5
1969,46,0.6
1969,47,0.4
1969,48,0.2
1969,49,0.4
1970,15,1.1
1970,16,2.5
1970,17,4.7
1970,18,8.6
1970,19,12.9
1970,20,18
1970,21,26.4
1970,22,46.9
1970,23,64.2
1970,24,75.8
1970,25,80.2
1970,26,77.4
1970,27,77.7
1970,28,70.7
1970,29,71.1
1970,30,74.7
1970,31,64.6
1970,32,62.2
1970,33,53.4
1970,34,51.8
1970,35,48.4
1970,36,43.6
1970,37,37.4
1970,38,32
1970,39,21.7
1970,40,17.7
1970,41,11.2
1970,42,9
1970,43,5.1
1970,44,3.2
1970,45,1.4
1970,46,0.8
1970,47,0.5
1970,48,0.2
1970,49,0.3
1971,15,0.8
1971,16,2.4
1971,17,5.6
1971,18,8.8
1971,19,12
1971,20,17.4
1971,21,28.6
1971,22,52.2
1971,23,63.4
1971,24,67.8
1971,25,66.4
1971,26,65.4
1971,27,66
1971,28,67.9
1971,29,74.7
1971,30,62.8
1971,31,67.4
1971,32,59.2
1971,33,56.4
1971,34,54.3
1971,35,53.4
1971,36,49.9
1971,37,40.4
1971,38,29.9
1971,39,24.6
1971,40,19
1971,41,14.2
1971,42,8.8
1971,43,4.8
1971,44,2.6
1971,45,1.6
1971,46,0.9
1971,47,0.6
1971,48,0.2
1971,49,0.3
1972,15,1.1
1972,16,2.7
1972,17,5.2
1972,18,8.4
1972,19,12.1
1972,20,20
1972,21,30.7
1972,22,47.8
1972,23,52.4
1972,24,58
1972,25,58.8
1972,26,59.4
1972,27,62.9
1972,28,72.7
1972,29,66.5
1972,30,70.6
1972,31,66.7
1972,32,65.9
1972,33,66.1
1972,34,67
1972,35,63.5
1972,36,58.9
1972,37,45.9
1972,38,35.6
1972,39,27.6
1972,40,24.6
1972,41,15.2
1972,42,9.9
1972,43,5.1
1972,44,2.9
1972,45,1.4
1972,46,0.9
1972,47,0.7
1972,48,0.3
1972,49,0.1
1973,15,1.6
1973,16,2.9
1973,17,5.4
1973,18,9.9
1973,19,11.5
1973,20,20.4
1973,21,31
1973,22,43.6
1973,23,47.2
1973,24,48.7
1973,25,52.4
1973,26,55.9
1973,27,64.2
1973,28,61.1
1973,29,64.6
1973,30,62.4
1973,31,67.7
1973,32,70.6
1973,33,66.1
1973,34,67.7
1973,35,64.7
1973,36,54.2
1973,37,47.1
1973,38,38.3
1973,39,34.3
1973,40,22.4
1973,41,15
1973,42,9.2
1973,43,5.8
1973,44,3.2
1973,45,1.7
1973,46,1
1973,47,0.3
1973,48,0.1
1973,49,-
1974,15,1.3
1974,16,2.4
1974,17,6
1974,18,10
1974,19,13.7
1974,20,21.6
1974,21,28.3
1974,22,37.2
1974,23,42.8
1974,24,46.6
1974,25,50.3
1974,26,58.8
1974,27,58.7
1974,28,64.9
1974,29,65.4
1974,30,65.9
1974,31,74.6
1974,32,75.5
1974,33,75.2
1974,34,74
1974,35,66.9
1974,36,62.8
1974,37,50.5
1974,38,44.8
1974,39,31.3
1974,40,24.4
1974,41,14.4
1974,42,10
1974,43,5.6
1974,44,2.7
1974,45,1.6
1974,46,0.4
1974,47,0.2
1974,48,-
1974,49,-
1975,15,1.3
1975,16,3.2
1975,17,6.6
1975,18,9.4
1975,19,13
1975,20,18.1
1975,21,23
1975,22,32.4
1975,23,37.7
1975,24,43.3
1975,25,50.8
1975,26,51.8
1975,27,58.8
1975,28,60.4
1975,29,64
1975,30,69.9
1975,31,77.1
1975,32,78.8
1975,33,79
1975,34,73.2
1975,35,70.6
1975,36,63.8
1975,37,54.8
1975,38,38.8
1975,39,31.9
1975,40,23.6
1975,41,15.8
1975,42,9.5
1975,43,5.3
1975,44,3
1975,45,1.6
1975,46,0.5
1975,47,-
1975,48,-
1975,49,-
1976,15,1.4
1976,16,3.3
1976,17,6
1976,18,9.8
1976,19,11.4
1976,20,17.1
1976,21,23.2
1976,22,32.4
1976,23,40.1
1976,24,44.4
1976,25,45.4
1976,26,53
1976,27,58.5
1976,28,63.6
1976,29,68.9
1976,30,73
1976,31,81.5
1976,32,83.8
1976,33,77.1
1976,34,78.9
1976,35,82.5
1976,36,74.8
1976,37,53.8
1976,38,43
1976,39,32.8
1976,40,23.7
1976,41,15.7
1976,42,9.7
1976,43,5.5
1976,44,2.2
1976,45,1.3
1976,46,-
1976,47,-
1976,48,-
1976,49,-
1977,15,1.8
1977,16,3.8
1977,17,6
1977,18,8.3
1977,19,12.4
1977,20,16.8
1977,21,21.6
1977,22,32.3
1977,23,40.4
1977,24,43.3
1977,25,49.6
1977,26,51.4
1977,27,57.2
1977,28,63.8
1977,29,68.6
1977,30,76
1977,31,84.1
1977,32,86.5
1977,33,84.1
1977,34,82.7
1977,35,84.2
1977,36,63.6
1977,37,56.5
1977,38,43.2
1977,39,35
1977,40,23.8
1977,41,15.3
1977,42,9.3
1977,43,4.8
1977,44,2
1977,45,-
1977,46,-
1977,47,-
1977,48,-
1977,49,-
1978,15,1.9
1978,16,2.9
1978,17,5.2
1978,18,8.6
1978,19,12.1
1978,20,15.5
1978,21,23.4
1978,22,32.4
1978,23,36.4
1978,24,45.6
1978,25,48.6
1978,26,51.5
1978,27,58.7
1978,28,64.3
1978,29,71.5
1978,30,77.2
1978,31,80.6
1978,32,89.4
1978,33,87.8
1978,34,91.8
1978,35,78.2
1978,36,69.3
1978,37,54
1978,38,43.3
1978,39,32.9
1978,40,22.2
1978,41,15
1978,42,7.7
1978,43,3.9
1978,44,-
1978,45,-
1978,46,-
1978,47,-
1978,48,-
1978,49,-
1979,15,1.6
1979,16,3.1
1979,17,4.8
1979,18,8.2
1979,19,11.5
1979,20,15.5
1979,21,25.2
1979,22,30
1979,23,38.4
1979,24,44.1
1979,25,48.8
1979,26,50.9
1979,27,57.6
1979,28,65
1979,29,71.8
1979,30,74.2
1979,31,86.2
1979,32,89.5
1979,33,99.7
1979,34,81.9
1979,35,85.2
1979,36,68.3
1979,37,57.3
1979,38,42.2
1979,39,32.2
1979,40,21.6
1979,41,13.4
1979,42,7.7
1979,43,-
1979,44,-
1979,45,-
1979,46,-
1979,47,-
1979,48,-
1979,49,-
1980,15,1.4
1980,16,2.3
1980,17,4.7
1980,18,7.2
1980,19,10.5
1980,20,15.2
1980,21,21.1
1980,22,30.7
1980,23,37.8
1980,24,43.7
1980,25,46.4
1980,26,49.2
1980,27,55.4
1980,28,62.6
1980,29,68.5
1980,30,79.7
1980,31,94.7
1980,32,101.7
1980,33,84.5
1980,34,89.9
1980,35,76.1
1980,36,70.1
1980,37,52.5
1980,38,39.8
1980,39,31.6
1980,40,18.5
1980,41,11.6
1980,42,-
1980,43,-
1980,44,-
1980,45,-
1980,46,-
1980,47,-
1980,48,-
1980,49,-
1981,15,1.8
1981,16,2.1
1981,17,4.1
1981,18,6.7
1981,19,10.4
1981,20,15.2
1981,21,22.8
1981,22,28.6
1981,23,37
1981,24,41
1981,25,42.4
1981,26,45.1
1981,27,52.4
1981,28,54
1981,29,63.6
1981,30,78.4
1981,31,101.9
1981,32,88.7
