Yr,G_B_HKR,M_HK_cross_b_marri,No_of_marri
2010,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,19191
2010,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,3259
2010,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1577
2010,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,4836
2010,Total,Total,24027
2011,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,16506
2011,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,3806
2011,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,20312
2011,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,4129
2011,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1738
2011,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,5867
2011,Total,Total,26179
2012,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,16930
2012,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,3691
2012,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,20621
2012,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,4930
2012,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1987
2012,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,6917
2012,Total,Total,27538
2013,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,15737
2013,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,3429
2013,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,19166
2013,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,5293
2013,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,2151
2013,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,7444
2013,Total,Total,26610
2014,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,15266
2014,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,3379
2014,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,18645
2014,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,5432
2014,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,2253
2014,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,7685
2014,Total,Total,26330
2015,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,13123
2015,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,3031
2015,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,16154
2015,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,4830
2015,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,2306
2015,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,7136
2015,Total,Total,23290
2016,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,12303
2016,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,2997
2016,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,15300
2016,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,5064
2016,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,2562
2016,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,7626
2016,Total,Total,22926
2017,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,11457
2017,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,2927
2017,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,14384
2017,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,5078
2017,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,2340
2017,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,7418
2017,Total,Total,21802
2018,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,10926
2018,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,2858
2018,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,13784
2018,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,5033
2018,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,2284
2018,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,7317
2018,Total,Total,21101
2019,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,9792
2019,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,2771
2019,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,12563
2019,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,4726
2019,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,2268
2019,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,6994
2019,Total,Total,19557
2020,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,1015
2020,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,670
2020,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,1685
2020,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,444
2020,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1137
2020,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,1581
2020,Total,Total,3266
2021,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,1302
2021,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,2141
2021,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,3443
2021,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,499
2021,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1121
2021,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,1620
2021,Total,Total,5063
