Yr,Period_marri,Cum_per,Months
2018,Median interval from marriage to first order live births (months),-,24.8
2019,1 year,25.2,-
2019,2 years,48.4,-
2019,3 years,64.9,-
2019,4 years,75.7,-
2019,5 years,83.6,-
2019,6 years,88.7,-
2019,7 years,92.7,-
2019,8 years,95.4,-
2019,Median interval from marriage to first order live births (months),-,25.2
2020,1 year,22.7,-
2020,2 years,44.7,-
2020,3 years,62.8,-
2020,4 years,74.3,-
2020,5 years,82.1,-
2020,6 years,88.1,-
2020,7 years,91.9,-
2020,8 years,94.7,-
2020,Median interval from marriage to first order live births (months),-,27.5
2021,1 year,22.7,-
2021,2 years,40.8,-
2021,3 years,59.3,-
2021,4 years,73.1,-
2021,5 years,81.4,-
2021,6 years,87.6,-
2021,7 years,91.9,-
2021,8 years,94.7,-
2021,Median interval from marriage to first order live births (months),-,30
