Yr,Order_live_births,Age_mother,No_of_live_births
1993,Second order live births,30 – 34,11277
1993,Second order live births,>=35,4231
1993,Second order live births,Total,26196
1993,Third order live births,<20,6
1993,Third order live births,20 – 24,269
1993,Third order live births,25 – 29,1827
1993,Third order live births,30 – 34,3448
1993,Third order live births,>=35,2059
1993,Third order live births,Total,7609
1993,Fourth and higher order live births,<20,–
1993,Fourth and higher order live births,20 – 24,33
1993,Fourth and higher order live births,25 – 29,349
1993,Fourth and higher order live births,30 – 34,1081
1993,Fourth and higher order live births,>=35,1080
1993,Fourth and higher order live births,Total,2543
1994,First order live births,<20,1179
1994,First order live births,20 – 24,7398
1994,First order live births,25 – 29,13935
1994,First order live births,30 – 34,10454
1994,First order live births,>=35,2247
1994,First order live births,Total,35213
1994,Second order live births,<20,125
1994,Second order live births,20 – 24,2259
1994,Second order live births,25 – 29,8235
1994,Second order live births,30 – 34,11694
1994,Second order live births,>=35,4662
1994,Second order live births,Total,26975
1994,Third order live births,<20,4
1994,Third order live births,20 – 24,209
1994,Third order live births,25 – 29,1594
1994,Third order live births,30 – 34,3312
1994,Third order live births,>=35,2127
1994,Third order live births,Total,7246
1994,Fourth and higher order live births,<20,2
1994,Fourth and higher order live births,20 – 24,22
1994,Fourth and higher order live births,25 – 29,268
1994,Fourth and higher order live births,30 – 34,908
1994,Fourth and higher order live births,>=35,1012
1994,Fourth and higher order live births,Total,2212
1995,First order live births,<20,1055
1995,First order live births,20 – 24,6389
1995,First order live births,25 – 29,12926
1995,First order live births,30 – 34,10529
1995,First order live births,>=35,2494
1995,First order live births,Total,33393
1995,Second order live births,<20,127
1995,Second order live births,20 – 24,2 062
1995,Second order live births,25 – 29,7735
1995,Second order live births,30 – 34,11594
1995,Second order live births,>=35,5070
1995,Second order live births,Total,26588
1995,Third order live births,<20,9
1995,Third order live births,20 – 24,192
1995,Third order live births,25 – 29,1362
1995,Third order live births,30 – 34,2993
1995,Third order live births,>=35,2176
1995,Third order live births,Total,6732
1995,Fourth and higher order live births,<20,–
1995,Fourth and higher order live births,20 – 24,27
1995,Fourth and higher order live births,25 – 29,212
1995,Fourth and higher order live births,30 – 34,786
1995,Fourth and higher order live births,>=35,899
1995,Fourth and higher order live births,Total,1924
1996,First order live births,<20,1047
1996,First order live births,20 – 24,5755
1996,First order live births,25 – 29,11491
1996,First order live births,30 – 34,9756
1996,First order live births,>=35,2704
1996,First order live births,Total,30753
1996,Second order live births,<20,125
1996,Second order live births,20 – 24,1835
1996,Second order live births,25 – 29,6939
1996,Second order live births,30 – 34,10718
1996,Second order live births,>=35,4982
1996,Second order live births,Total,24599
1996,Third order live births,<20,11
1996,Third order live births,20 – 24,169
1996,Third order live births,25 – 29,1249
1996,Third order live births,30 – 34,2659
1996,Third order live births,>=35,2050
1996,Third order live births,Total,6138
1996,Fourth and higher order live births,<20,–
1996,Fourth and higher order live births,20 – 24,22
1996,Fourth and higher order live births,25 – 29,188
1996,Fourth and higher order live births,30 – 34,699
1996,Fourth and higher order live births,>=35,892
1996,Fourth and higher order live births,Total,1801
1997,First order live births,<20,1038
1997,First order live births,20 – 24,5214
1997,First order live births,25 – 29,10369
1997,First order live births,30 – 34,9273
1997,First order live births,>=35,2839
1997,First order live births,Total,28733
1997,Second order live births,<20,117
1997,Second order live births,20 – 24,1686
1997,Second order live births,25 – 29,6357
1997,Second order live births,30 – 34,9749
1997,Second order live births,>=35,5239
1997,Second order live births,Total,23148
1997,Third order live births,<20,16
1997,Third order live births,20 – 24,185
1997,Third order live births,25 – 29,1080
1997,Third order live births,30 – 34,2430
1997,Third order live births,>=35,2059
1997,Third order live births,Total,5770
1997,Fourth and higher order live births,<20,–
1997,Fourth and higher order live births,20 – 24,31
1997,Fourth and higher order live births,25 – 29,160
1997,Fourth and higher order live births,30 – 34,557
1997,Fourth and higher order live births,>=35,851
1997,Fourth and higher order live births,Total,1599
1998,First order live births,<20,1003
1998,First order live births,20 – 24,4868
1998,First order live births,25 – 29,9399
1998,First order live births,30 – 34,8661
1998,First order live births,>=35,3012
1998,First order live births,Total,26943
1998,Second order live births,<20,123
1998,Second order live births,20 – 24,1507
1998,Second order live births,25 – 29,5428
1998,Second order live births,30 – 34,8001
1998,Second order live births,>=35,4839
1998,Second order live births,Total,19898
1998,Third order live births,<20,4
1998,Third order live births,20 – 24,183
1998,Third order live births,25 – 29,922
1998,Third order live births,30 – 34,1813
1998,Third order live births,>=35,1923
1998,Third order live births,Total,4845
1998,Fourth and higher order live births,<20,–
1998,Fourth and higher order live births,20 – 24,17
1998,Fourth and higher order live births,25 – 29,172
1998,Fourth and higher order live births,30 – 34,424
1998,Fourth and higher order live births,>=35,678
1998,Fourth and higher order live births,Total,1291
1999,First order live births,<20,919
1999,First order live births,20 – 24,5041
1999,First order live births,25 – 29,9317
1999,First order live births,30 – 34,8573
1999,First order live births,>=35,3235
1999,First order live births,Total,27085
1999,Second order live births,<20,114
1999,Second order live births,20 – 24,1361
1999,Second order live births,25 – 29,5005
1999,Second order live births,30 – 34,7302
1999,Second order live births,>=35,4784
1999,Second order live births,Total,18566
1999,Third order live births,<20,8
1999,Third order live births,20 – 24,169
1999,Third order live births,25 – 29,822
1999,Third order live births,30 – 34,1570
1999,Third order live births,>=35,1835
1999,Third order live births,Total,4404
1999,Fourth and higher order live births,<20,–
1999,Fourth and higher order live births,20 – 24,24
1999,Fourth and higher order live births,25 – 29,135
1999,Fourth and higher order live births,30 – 34,396
1999,Fourth and higher order live births,>=35,671
1999,Fourth and higher order live births,Total,1226
2000,First order live births,<20,882
2000,First order live births,20 – 24,5128
2000,First order live births,25 – 29,9988
2000,First order live births,30 – 34,9072
2000,First order live births,>=35,3505
2000,First order live births,Total,28575
2000,Second order live births,<20,95
2000,Second order live births,20 – 24,1273
2000,Second order live births,25 – 29,5188
2000,Second order live births,30 – 34,7804
2000,Second order live births,>=35,5426
2000,Second order live births,Total,19786
2000,Third order live births,<20,4
2000,Third order live births,20 – 24,162
2000,Third order live births,25 – 29,806
2000,Third order live births,30 – 34,1734
2000,Third order live births,>=35,1879
2000,Third order live births,Total,4585
2000,Fourth and higher order live births,<20,–
2000,Fourth and higher order live births,20 – 24,17
2000,Fourth and higher order live births,25 – 29,143
2000,Fourth and higher order live births,30 – 34,360
2000,Fourth and higher order live births,>=35,668
2000,Fourth and higher order live births,Total,1188
2001,First order live births,<20,794
2001,First order live births,20 – 24,4641
2001,First order live births,25 – 29,8490
2001,First order live births,30 – 34,8182
2001,First order live births,>=35,3554
2001,First order live births,Total,25661
2001,Second order live births,<20,84
2001,Second order live births,20 – 24,1195
2001,Second order live births,25 – 29,4391
2001,Second order live births,30 – 34,6912
2001,Second order live births,>=35,5107
2001,Second order live births,Total,17689
2001,Third order live births,<20,8
2001,Third order live births,20 – 24,131
2001,Third order live births,25 – 29,630
2001,Third order live births,30 – 34,1398
2001,Third order live births,>=35,1682
2001,Third order live births,Total,3849
2001,Fourth and higher order live births,<20,–
2001,Fourth and higher order live births,20 – 24,25
2001,Fourth and higher order live births,25 – 29,140
2001,Fourth and higher order live births,30 – 34,303
2001,Fourth and higher order live births,>=35,552
2001,Fourth and higher order live births,Total,1020
2002,First order live births,<20,715
2002,First order live births,20 – 24,4763
2002,First order live births,25 – 29,8392
2002,First order live births,30 – 34,8576
2002,First order live births,>=35,3465
2002,First order live births,Total,25911
2002,Second order live births,<20,79
2002,Second order live births,20 – 24,1173
2002,Second order live births,25 – 29,4509
2002,Second order live births,30 – 34,7094
2002,Second order live births,>=35,4809
2002,Second order live births,Total,17664
2002,Third order live births,<20,5
2002,Third order live births,20 – 24,147
2002,Third order live births,25 – 29,621
2002,Third order live births,30 – 34,1329
2002,Third order live births,>=35,1551
2002,Third order live births,Total,3653
2002,Fourth and higher order live births,<20,1
2002,Fourth and higher order live births,20 – 24,21
2002,Fourth and higher order live births,25 – 29,146
2002,Fourth and higher order live births,30 – 34,272
2002,Fourth and higher order live births,>=35,541
2002,Fourth and higher order live births,Total,981
2003,First order live births,<20,708
2003,First order live births,20 – 24,4869
2003,First order live births,25 – 29,8241
2003,First order live births,30 – 34,8115
2003,First order live births,>=35,3449
2003,First order live births,Total,25382
2003,Second order live births,<20,51
2003,Second order live births,20 – 24,1192
2003,Second order live births,25 – 29,4442
2003,Second order live births,30 – 34,6923
2003,Second order live births,>=35,4750
2003,Second order live births,Total,17358
2003,Third order live births,<20,3
2003,Third order live births,20 – 24,114
2003,Third order live births,25 – 29,568
2003,Third order live births,30 – 34,1252
2003,Third order live births,>=35,1392
2003,Third order live births,Total,3329
2003,Fourth and higher order live births,<20,–
2003,Fourth and higher order live births,20 – 24,22
2003,Fourth and higher order live births,25 – 29,139
2003,Fourth and higher order live births,30 – 34,288
2003,Fourth and higher order live births,>=35,447
2003,Fourth and higher order live births,Total,896
2004,First order live births,<20,762
2004,First order live births,20 – 24,5634
2004,First order live births,25 – 29,8644
2004,First order live births,30 – 34,8727
2004,First order live births,>=35,3754
2004,First order live births,Total,27521
2004,Second order live births,<20,77
2004,Second order live births,20 – 24,1225
2004,Second order live births,25 – 29,4587
2004,Second order live births,30 – 34,7351
2004,Second order live births,>=35,4648
2004,Second order live births,Total,17888
2004,Third order live births,<20,5
2004,Third order live births,20 – 24,123
2004,Third order live births,25 – 29,595
2004,Third order live births,30 – 34,1374
2004,Third order live births,>=35,1440
2004,Third order live births,Total,3537
2004,Fourth and higher order live births,<20,–
2004,Fourth and higher order live births,20 – 24,30
2004,Fourth and higher order live births,25 – 29,107
2004,Fourth and higher order live births,30 – 34,267
2004,Fourth and higher order live births,>=35,446
2004,Fourth and higher order live births,Total,850
2005,First order live births,<20,769
2005,First order live births,20 – 24,6546
2005,First order live births,25 – 29,9783
2005,First order live births,30 – 34,9859
2005,First order live births,>=35,4109
2005,First order live births,Total,31066
2005,Second order live births,<20,56
2005,Second order live births,20 – 24,1426
2005,Second order live births,25 – 29,5488
2005,Second order live births,30 – 34,8621
2005,Second order live births,>=35,5619
2005,Second order live births,Total,21210
2005,Third order live births,<20,3
2005,Third order live births,20 – 24,138
2005,Third order live births,25 – 29,733
2005,Third order live births,30 – 34,1514
2005,Third order live births,>=35,1538
2005,Third order live births,Total,3926
2005,Fourth and higher order live births,<20,–
2005,Fourth and higher order live births,20 – 24,20
2005,Fourth and higher order live births,25 – 29,142
2005,Fourth and higher order live births,30 – 34,284
2005,Fourth and higher order live births,>=35,450
2005,Fourth and higher order live births,Total,896
2006,First order live births,<20,831
2006,First order live births,20 – 24,7154
2006,First order live births,25 – 29,10967
2006,First order live births,30 – 34,10558
2006,First order live births,>=35,4705
2006,First order live births,Total,34215
2006,Second order live births,<20,59
2006,Second order live births,20 – 24,1749
2006,Second order live births,25 – 29,6816
2006,Second order live births,30 – 34,10374
2006,Second order live births,>=35,6829
2006,Second order live births,Total,25827
2006,Third order live births,<20,4
2006,Third order live births,20 – 24,146
2006,Third order live births,25 – 29,883
2006,Third order live births,30 – 34,1786
2006,Third order live births,>=35,1789
2006,Third order live births,Total,4608
2006,Fourth and higher order live births,<20,–
2006,Fourth and higher order live births,20 – 24,22
2006,Fourth and higher order live births,25 – 29,148
2006,Fourth and higher order live births,30 – 34,317
2006,Fourth and higher order live births,>=35,489
2006,Fourth and higher order live births,Total,976
2007,First order live births,<20,793
2007,First order live births,20 – 24,6188
2007,First order live births,25 – 29,11470
2007,First order live births,30 – 34,11870
2007,First order live births,>=35,5463
2007,First order live births,Total,35784
2007,Second order live births,<20,74
2007,Second order live births,20 – 24,1574
2007,Second order live births,25 – 29,7160
2007,Second order live births,30 – 34,11633
2007,Second order live births,>=35,8580
2007,Second order live births,Total,29021
2007,Third order live births,<20,3
2007,Third order live births,20 – 24,147
2007,Third order live births,25 – 29,928
2007,Third order live births,30 – 34,1953
2007,Third order live births,>=35,2067
2007,Third order live births,Total,5098
2007,Fourth and higher order live births,<20,–
2007,Fourth and higher order live births,20 – 24,25
2007,Fourth and higher order live births,25 – 29,139
2007,Fourth and higher order live births,30 – 34,289
2007,Fourth and higher order live births,>=35,519
2007,Fourth and higher order live births,Total,972
2008,First order live births,<20,763
2008,First order live births,20 – 24,6521
2008,First order live births,25 – 29,12404
2008,First order live births,30 – 34,12428
2008,First order live births,>=35,6251
2008,First order live births,Total,38367
2008,Second order live births,<20,68
2008,Second order live births,20 – 24,1685
2008,Second order live births,25 – 29,8055
2008,Second order live births,30 – 34,13244
2008,Second order live births,>=35,10565
2008,Second order live births,Total,33617
2008,Third order live births,<20,1
2008,Third order live births,20 – 24,154
2008,Third order live births,25 – 29,1034
2008,Third order live births,30 – 34,2066
2008,Third order live births,>=35,2423
2008,Third order live births,Total,5678
2008,Fourth and higher order live births,<20,–
2008,Fourth and higher order live births,20 – 24,13
2008,Fourth and higher order live births,25 – 29,159
2008,Fourth and higher order live births,30 – 34,359
2008,Fourth and higher order live births,>=35,629
2008,Fourth and higher order live births,Total,1160
2009,First order live births,<20,712
2009,First order live births,20 – 24,6688
2009,First order live births,25 – 29,12234
2009,First order live births,30 – 34,12400
2009,First order live births,>=35,6464
2009,First order live births,Total,38498
2009,Second order live births,<20,46
2009,Second order live births,20 – 24,1780
2009,Second order live births,25 – 29,8633
2009,Second order live births,30 – 34,13972
2009,Second order live births,>=35,12145
2009,Second order live births,Total,36576
2009,Third order live births,<20,1
2009,Third order live births,20 – 24,144
2009,Third order live births,25 – 29,1053
2009,Third order live births,30 – 34,2109
2009,Third order live births,>=35,2614
2009,Third order live births,Total,5921
2009,Fourth and higher order live births,<20,–
2009,Fourth and higher order live births,20 – 24,15
2009,Fourth and higher order live births,25 – 29,169
2009,Fourth and higher order live births,30 – 34,337
2009,Fourth and higher order live births,>=35,579
2009,Fourth and higher order live births,Total,1100
2010,First order live births,<20,737
2010,First order live births,20 – 24,7079
2010,First order live births,25 – 29,13435
2010,First order live births,30 – 34,13423
2010,First order live births,>=35,7139
2010,First order live births,Total,41813
2010,Second order live births,<20,67
2010,Second order live births,20 – 24,1819
2010,Second order live births,25 – 29,8810
2010,Second order live births,30 – 34,14436
2010,Second order live births,>=35,13503
2010,Second order live births,Total,38635
2010,Third order live births,<20,2
2010,Third order live births,20 – 24,171
2010,Third order live births,25 – 29,1155
2010,Third order live births,30 – 34,2435
2010,Third order live births,>=35,3035
2010,Third order live births,Total,6798
2010,Fourth and higher order live births,<20,–
2010,Fourth and higher order live births,20 – 24,18
2010,Fourth and higher order live births,25 – 29,197
2010,Fourth and higher order live births,30 – 34,433
2010,Fourth and higher order live births,>=35,690
2010,Fourth and higher order live births,Total,1338
2011,First order live births,<20,720
2011,First order live births,20 – 24,6984
2011,First order live births,25 – 29,14173
2011,First order live births,30 – 34,14366
2011,First order live births,>=35,7726
2011,First order live births,Total,43969
2011,Second order live births,<20,61
2011,Second order live births,20 – 24,1890
2011,Second order live births,25 – 29,9627
2011,Second order live births,30 – 34,16071
2011,Second order live births,>=35,14979
2011,Second order live births,Total,42628
2011,Third order live births,<20,1
2011,Third order live births,20 – 24,210
2011,Third order live births,25 – 29,1328
2011,Third order live births,30 – 34,2495
2011,Third order live births,>=35,3460
2011,Third order live births,Total,7494
2011,Fourth and higher order live births,<20,1
2011,Fourth and higher order live births,20 – 24,10
2011,Fourth and higher order live births,25 – 29,214
2011,Fourth and higher order live births,30 – 34,445
2011,Fourth and higher order live births,>=35,690
2011,Fourth and higher order live births,Total,1360
2012,First order live births,<20,596
2012,First order live births,20 – 24,5490
2012,First order live births,25 – 29,13617
2012,First order live births,30 – 34,15923
2012,First order live births,>=35,7551
2012,First order live births,Total,43177
2012,Second order live births,<20,64
2012,Second order live births,20 – 24,1705
2012,Second order live births,25 – 29,8786
2012,Second order live births,30 – 34,15567
2012,Second order live births,>=35,13528
2012,Second order live births,Total,39650
2012,Third order live births,<20,–
2012,Third order live births,20 – 24,142
2012,Third order live births,25 – 29,1234
2012,Third order live births,30 – 34,2700
2012,Third order live births,>=35,3252
2012,Third order live births,Total,7328
2012,Fourth and higher order live births,<20,–
2012,Fourth and higher order live births,20 – 24,18
2012,Fourth and higher order live births,25 – 29,197
2012,Fourth and higher order live births,30 – 34,455
2012,Fourth and higher order live births,>=35,733
2012,Fourth and higher order live births,Total,1403
2013,First order live births,<20,471
2013,First order live births,20 – 24,3128
2013,First order live births,25 – 29,8903
2013,First order live births,30 – 34,12537
2013,First order live births,>=35,6554
2013,First order live births,Total,31593
2013,Second order live births,<20,55
2013,Second order live births,20 – 24,801
2013,Second order live births,25 – 29,3740
2013,Second order live births,30 – 34,8122
2013,Second order live births,>=35,7757
2013,Second order live births,Total,20475
2013,Third order live births,<20,–
2013,Third order live births,20 – 24,74
2013,Third order live births,25 – 29,533
2013,Third order live births,30 – 34,1463
2013,Third order live births,>=35,2029
2013,Third order live births,Total,4099
2013,Fourth and higher order live births,<20,–
2013,Fourth and higher order live births,20 – 24,10
2013,Fourth and higher order live births,25 – 29,96
2013,Fourth and higher order live births,30 – 34,279
2013,Fourth and higher order live births,>=35,532
2013,Fourth and higher order live births,Total,917
2014,First order live births,<20,501
2014,First order live births,20 – 24,3193
2014,First order live births,25 – 29,9681
2014,First order live births,30 – 34,13723
2014,First order live births,>=35,6858
2014,First order live births,Total,33956
2014,Second order live births,<20,56
2014,Second order live births,20 – 24,898
2014,Second order live births,25 – 29,4306
2014,Second order live births,30 – 34,9456
2014,Second order live births,>=35,8492
2014,Second order live births,Total,23208
2014,Third order live births,<20,2
2014,Third order live births,20 – 24,96
2014,Third order live births,25 – 29,610
2014,Third order live births,30 – 34,1434
2014,Third order live births,>=35,2086
2014,Third order live births,Total,4228
2014,Fourth and higher order live births,<20,–
2014,Fourth and higher order live births,20 – 24,10
2014,Fourth and higher order live births,25 – 29,104
2014,Fourth and higher order live births,30 – 34,267
2014,Fourth and higher order live births,>=35,532
2014,Fourth and higher order live births,Total,913
2015,First order live births,<20,458
2015,First order live births,20 – 24,3045
2015,First order live births,25 – 29,9059
2015,First order live births,30 – 34,13080
2015,First order live births,>=35,6752
2015,First order live births,Total,32394
2015,Second order live births,<20,33
2015,Second order live births,20 – 24,876
2015,Second order live births,25 – 29,4157
2015,Second order live births,30 – 34,8889
2015,Second order live births,>=35,8265
2015,Second order live births,Total,22220
2015,Third order live births,<20,2
2015,Third order live births,20 – 24,104
2015,Third order live births,25 – 29,607
2015,Third order live births,30 – 34,1484
2015,Third order live births,>=35,2143
2015,Third order live births,Total,4340
2015,Fourth and higher order live births,<20,–
2015,Fourth and higher order live births,20 – 24,15
2015,Fourth and higher order live births,25 – 29,98
2015,Fourth and higher order live births,30 – 34,303
2015,Fourth and higher order live births,>=35,508
2015,Fourth and higher order live births,Total,924
2016,First order live births,<20,390
2016,First order live births,20 – 24,2850
2016,First order live births,25 – 29,9044
2016,First order live births,30 – 34,13053
2016,First order live births,>=35,6860
2016,First order live births,Total,32197
2016,Second order live births,<20,42
2016,Second order live births,20 – 24,824
2016,Second order live births,25 – 29,4281
2016,Second order live births,30 – 34,9540
2016,Second order live births,>=35,8424
2016,Second order live births,Total,23111
2016,Third order live births,<20,5
2016,Third order live births,20 – 24,94
2016,Third order live births,25 – 29,579
2016,Third order live births,30 – 34,1567
2016,Third order live births,>=35,2279
2016,Third order live births,Total,4524
2016,Fourth and higher order live births,<20,–
2016,Fourth and higher order live births,20 – 24,15
2016,Fourth and higher order live births,25 – 29,100
2016,Fourth and higher order live births,30 – 34,320
2016,Fourth and higher order live births,>=35,589
2016,Fourth and higher order live births,Total,1024
2017,First order live births,<20,340
2017,First order live births,20 – 24,2594
2017,First order live births,25 – 29,8008
2017,First order live births,30 – 34,11733
2017,First order live births,>=35,6865
2017,First order live births,Total,29540
2017,Second order live births,<20,50
2017,Second order live births,20 – 24,800
2017,Second order live births,25 – 29,3925
2017,Second order live births,30 – 34,8569
2017,Second order live births,>=35,8278
2017,Second order live births,Total,21622
2017,Third order live births,<20,3
2017,Third order live births,20 – 24,95
2017,Third order live births,25 – 29,605
2017,Third order live births,30 – 34,1487
2017,Third order live births,>=35,2227
2017,Third order live births,Total,4417
2017,Fourth and higher order live births,<20,–
2017,Fourth and higher order live births,20 – 24,15
2017,Fourth and higher order live births,25 – 29,109
2017,Fourth and higher order live births,30 – 34,304
2017,Fourth and higher order live births,>=35,541
2017,Fourth and higher order live births,Total,969
2018,First order live births,<20,270
2018,First order live births,20 – 24,2191
2018,First order live births,25 – 29,7338
2018,First order live births,30 – 34,11537
2018,First order live births,>=35,6788
2018,First order live births,Total,28124
2018,Second order live births,<20,31
2018,Second order live births,20 – 24,745
2018,Second order live births,25 – 29,3478
2018,Second order live births,30 – 34,7951
2018,Second order live births,>=35,8039
2018,Second order live births,Total,20244
2018,Third order live births,<20,2
2018,Third order live births,20 – 24,86
2018,Third order live births,25 – 29,619
2018,Third order live births,30 – 34,1434
2018,Third order live births,>=35,2218
2018,Third order live births,Total,4359
2018,Fourth and higher order live births,<20,–
2018,Fourth and higher order live births,20 – 24,14
2018,Fourth and higher order live births,25 – 29,112
2018,Fourth and higher order live births,30 – 34,319
2018,Fourth and higher order live births,>=35,544
2018,Fourth and higher order live births,Total,989
2019,First order live births,<20,214
2019,First order live births,20 – 24,1930
2019,First order live births,25 – 29,6951
2019,First order live births,30 – 34,11852
2019,First order live births,>=35,6893
2019,First order live births,Total,27840
2019,Second order live births,<20,36
2019,Second order live births,20 – 24,661
2019,Second order live births,25 – 29,3248
2019,Second order live births,30 – 34,7913
2019,Second order live births,>=35,7897
2019,Second order live births,Total,19755
2019,Third order live births,<20,4
2019,Third order live births,20 – 24,87
2019,Third order live births,25 – 29,544
2019,Third order live births,30 – 34,1389
2019,Third order live births,>=35,2251
2019,Third order live births,Total,4275
2019,Fourth and higher order live births,<20,1
2019,Fourth and higher order live births,20 – 24,11
2019,Fourth and higher order live births,25 – 29,96
2019,Fourth and higher order live births,30 – 34,290
2019,Fourth and higher order live births,>=35,588
2019,Fourth and higher order live births,Total,986
2020,First order live births,<20,176
2020,First order live births,20 – 24,1412
2020,First order live births,25 – 29,5111
2020,First order live births,30 – 34,9662
2020,First order live births,>=35,6091
2020,First order live births,Total,22452
2020,Second order live births,<20,39
2020,Second order live births,20 – 24,487
2020,Second order live births,25 – 29,2389
2020,Second order live births,30 – 34,6388
2020,Second order live births,>=35,6685
2020,Second order live births,Total,15988
2020,Third order live births,<20,2
2020,Third order live births,20 – 24,83
2020,Third order live births,25 – 29,448
2020,Third order live births,30 – 34,1246
2020,Third order live births,>=35,1938
2020,Third order live births,Total,3717
2020,Fourth and higher order live births,<20,–
2020,Fourth and higher order live births,20 – 24,14
2020,Fourth and higher order live births,25 – 29,95
2020,Fourth and higher order live births,30 – 34,260
2020,Fourth and higher order live births,>=35,505
2020,Fourth and higher order live births,Total,874
2021,First order live births,<20,146
2021,First order live births,20 – 24,888
2021,First order live births,25 – 29,3946
2021,First order live births,30 – 34,8497
2021,First order live births,>=35,5362
2021,First order live births,Total,18839
2021,Second order live births,<20,19
2021,Second order live births,20 – 24,408
2021,Second order live births,25 – 29,1864
2021,Second order live births,30 – 34,5584
2021,Second order live births,>=35,6192
2021,Second order live births,Total,14067
2021,Third order live births,<20,5
2021,Third order live births,20 – 24,69
2021,Third order live births,25 – 29,383
2021,Third order live births,30 – 34,1052
2021,Third order live births,>=35,1712
2021,Third order live births,Total,3221
2021,Fourth and higher order live births,<20,–
2021,Fourth and higher order live births,20 – 24,12
2021,Fourth and higher order live births,25 – 29,78
2021,Fourth and higher order live births,30 – 34,245
2021,Fourth and higher order live births,>=35,491
2021,Fourth and higher order live births,Total,826
